"","Z","Y","C"
"1",48,18,0
"2",48,17,0
"3",34,19,0
"4",48,17,0
"5",34,17,0
"6",48,17,0
"7",48,17,0
"8",21,17,0
"9",38,17,0
"10",48,17,0
"11",48,18,0
"12",48,18,0
"13",26,18,0
"14",27,18,0
"15",25,18,0
"16",48,18,0
"17",48,17,0
"18",40,17,0
"19",48,17,0
"20",28,17,0
"21",21,17,0
"22",19,13,0
"23",18,13,0
"24",39,13,0
"25",38,13,0
"26",47,13,0
"27",48,6,0
"28",48,6,1
"29",17,13,0
"30",48,13,0
"31",13,12,0
"32",24,19,0
"33",48,19,0
"34",27,19,0
"35",8,6,0
"36",25,6,0
"37",48,6,0
"38",10,6,0
"39",43,7,0
"40",48,7,1
"41",34,7,0
"42",24,7,0
"43",19,7,0
"44",48,7,0
"45",47,7,0
"46",19,7,0
"47",42,7,0
"48",9,7,0
"49",43,7,0
"50",25,8,0
"51",48,8,0
"52",45,19,0
"53",44,19,0
"54",48,19,0
"55",48,19,0
"56",34,19,0
"57",48,19,0
"58",48,6,1
"59",34,6,0
"60",46,7,0
"61",40,7,0
"62",48,7,0
"63",12,7,0
"64",48,7,0
"65",15,7,0
"66",29,7,0
"67",48,7,1
"68",35,7,0
"69",48,7,0
"70",48,7,0
"71",48,7,1
"72",48,7,0
"73",48,19,0
"74",48,19,0
"75",48,19,0
"76",35,19,0
"77",31,19,0
"78",45,18,0
"79",26,18,0
"80",48,16,0
"81",33,16,0
"82",45,15,0
"83",48,15,0
"84",28,15,0
"85",29,15,0
"86",48,19,0
"87",48,18,0
"88",48,18,0
"89",35,18,0
"90",48,16,0
"91",48,16,0
"92",30,16,0
"93",48,16,0
"94",31,15,0
"95",46,15,0
"96",48,15,0
"97",48,15,0
"98",37,15,0
"99",38,14,0
"100",48,14,0
"101",46,14,0
"102",16,14,0
"103",37,14,0
"104",40,14,0
"105",48,14,0
"106",48,14,0
"107",15,14,0
"108",25,13,0
"109",48,12,0
"110",48,12,0
"111",43,12,0
"112",48,12,0
"113",48,12,0
"114",48,11,0
"115",48,11,0
"116",22,13,0
"117",21,13,0
"118",43,12,0
"119",48,12,0
"120",30,12,0
"121",48,11,0
"122",48,11,0
"123",32,11,0
"124",43,11,0
"125",35,11,0
"126",38,10,0
"127",48,9,0
"128",48,9,0
"129",48,9,0
"130",17,9,0
"131",48,9,0
"132",48,11,0
"133",47,10,0
"134",27,10,0
"135",33,10,0
"136",27,10,0
"137",19,10,0
"138",26,10,0
"139",39,10,0
"140",48,9,0
"141",31,9,0
"142",11,9,0
"143",26,9,0
"144",45,9,0
"145",21,9,0
"146",48,9,0
"147",40,8,0
"148",48,8,0
"149",40,8,0
"150",13,8,0
"151",32,7,0
"152",48,6,1
"153",30,5,0
"154",41,8,0
"155",48,8,0
"156",29,8,0
"157",32,8,0
"158",48,8,0
"159",43,8,0
"160",24,6,0
"161",20,6,0
"162",43,6,0
"163",48,6,1
"164",33,6,0
