"","Z","Y","C"
"355",63,61,0
"356",71,61,0
"357",62,61,0
"358",69,61,0
"359",63,61,0
"360",69,61,0
"361",72,61,0
"362",74,61,0
"363",74,61,0
"364",74,61,0
"365",70,60,0
"366",74,61,0
"367",70,60,0
"368",74,60,0
"369",74,60,0
"370",74,60,0
"371",74,60,0
"372",72,60,0
"373",74,60,0
"374",74,60,0
"375",72,60,0
"376",64,60,0
"377",64,60,0
"378",74,60,0
"379",74,60,0
"380",63,60,0
"381",74,60,0
"382",65,60,0
"383",74,59,0
"384",74,59,0
"385",74,59,0
"386",63,59,0
"387",74,62,0
"388",65,62,0
"389",74,62,0
"390",73,62,0
"391",74,62,0
"392",74,61,0
"393",74,61,0
"394",74,61,0
"395",74,61,0
"396",63,61,0
"397",74,62,0
"398",74,61,0
"399",63,61,0
"400",74,61,0
"401",74,60,0
"402",74,61,0
"403",74,60,0
"404",74,60,0
"405",74,60,0
"406",66,60,0
"407",68,60,0
"408",74,60,0
"409",74,60,0
"410",71,60,0
"411",74,60,0
"412",72,60,0
"413",73,60,0
"414",74,55,0
"415",68,55,0
"416",58,55,0
"417",73,55,0
"418",71,55,0
"419",74,54,0
"420",74,56,0
"421",64,56,0
"422",57,55,0
"423",73,55,0
"424",58,55,0
"425",74,55,0
"426",61,55,0
"427",74,55,0
"428",72,55,0
"429",72,55,0
"430",74,55,0
"431",74,54,0
"432",74,54,0
"433",73,43,0
"434",62,43,0
"435",57,43,0
"436",53,43,0
"437",69,43,0
"438",47,43,0
"439",57,43,0
"440",74,43,0
"441",74,43,0
"442",74,43,0
"443",47,43,0
"444",60,43,0
"445",68,43,0
"446",74,40,0
"447",62,39,0
"448",40,39,0
"449",44,39,0
"450",74,39,0
"451",70,39,0
"452",74,39,0
"453",48,39,0
"454",74,39,0
"455",71,39,0
"456",74,39,0
"457",44,39,0
"458",68,39,0
"459",49,39,0
"460",74,33,0
"461",74,33,0
"462",58,33,0
"463",46,33,0
"464",74,33,0
"465",72,33,0
"466",68,33,0
"467",61,31,0
"468",67,31,0
"469",64,31,0
"470",37,31,0
"471",39,31,0
"472",33,31,0
"473",32,31,0
"474",74,31,1
"475",43,30,0
"476",53,30,0
"477",31,30,0
"478",35,30,0
"479",49,30,0
"480",73,30,1
"481",35,30,0
"482",38,30,0
"483",50,30,0
"484",58,30,0
"485",74,37,1
"486",57,37,0
"487",41,37,0
"488",54,37,0
"489",74,37,0
"490",40,37,0
"491",74,54,0
"492",74,53,0
"493",74,53,0
"494",74,54,0
"495",62,53,0
"496",74,53,0
"497",61,52,0
"498",74,58,0
"499",53,43,0
"500",71,43,0
"501",74,43,0
"502",74,43,0
"503",48,43,0
"504",74,40,0
"505",74,41,0
"506",70,41,0
"507",70,41,0
"508",59,40,0
"509",74,40,0
"510",74,40,0
"511",63,40,0
"512",46,40,0
"513",71,40,0
"514",60,40,0
"515",42,40,0
"516",47,39,0
"517",68,39,0
"518",69,39,0
"519",42,39,0
"520",74,39,0
"521",46,39,0
"522",47,39,0
"523",44,39,0
"524",74,39,0
"525",72,39,0
"526",69,33,0
"527",70,33,0
"528",58,33,0
"529",48,31,0
"530",65,31,0
"531",47,32,0
"532",73,31,0
"533",32,31,0
"534",74,31,1
"535",46,31,0
"536",54,31,0
"537",65,31,0
"538",74,31,0
"539",40,31,0
"540",66,31,0
"541",33,31,0
"542",71,31,0
"543",66,31,0
"544",66,31,0
"545",65,30,0
"546",40,30,0
"547",56,30,0
"548",64,30,0
"549",73,30,0
"550",58,30,0
"551",38,30,0
"552",73,30,0
"553",51,30,0
"554",64,30,0
"555",45,30,0
"556",72,30,0
"557",51,30,0
"558",31,30,0
"559",70,30,0
"560",69,37,0
"561",40,37,0
"562",74,37,0
"563",70,37,0
"564",69,37,0
"565",74,36,0
"566",74,36,0
"567",58,36,0
"568",49,36,0
"569",74,36,0
"570",74,36,0
"571",70,36,0
"572",66,35,0
"573",69,36,0
"574",74,34,0
"575",36,34,0
"576",65,34,0
"577",60,34,0
"578",74,34,0
"579",64,34,0
"580",60,34,0
"581",51,34,0
"582",44,34,0
"583",74,34,0
"584",41,25,0
"585",52,25,0
"586",38,25,0
"587",39,24,0
"588",67,24,1
"589",30,24,0
"590",63,24,0
"591",60,24,0
"592",67,24,1
"593",64,24,0
"594",45,23,0
"595",62,23,0
"596",26,23,0
"597",66,23,1
"598",48,23,0
"599",32,23,0
"600",36,23,0
"601",45,23,0
"602",56,23,0
"603",66,23,1
"604",60,23,0
"605",66,23,1
"606",60,23,0
"607",41,29,0
"608",43,29,0
"609",68,29,0
"610",50,28,0
"611",45,29,0
"612",38,29,0
"613",50,28,0
"614",71,28,1
"615",71,28,1
"616",46,28,0
"617",56,28,0
"618",66,28,0
"619",71,28,1
"620",66,28,0
"621",59,27,0
"622",41,23,0
"623",30,24,0
"624",64,23,0
"625",62,23,0
"626",40,37,0
"627",61,35,0
"628",48,35,0
"629",44,35,0
"630",49,35,0
"631",62,36,0
"632",39,35,0
"633",43,35,0
"634",62,34,0
"635",60,34,0
"636",45,34,0
"637",74,34,0
"638",40,34,0
"639",65,34,0
"640",59,34,0
"641",74,34,0
"642",74,34,0
"643",74,34,0
"644",47,34,0
"645",70,34,0
"646",74,34,0
"647",74,34,0
"648",69,34,0
"649",37,34,0
"650",74,34,0
"651",53,34,0
"652",67,24,1
"653",57,24,0
"654",46,25,0
"655",63,24,0
"656",26,24,0
"657",44,24,0
"658",40,24,0
"659",40,24,0
"660",30,24,0
"661",30,23,0
"662",66,23,1
"663",28,23,0
"664",41,23,0
"665",53,23,0
"666",57,23,0
"667",66,23,1
"668",63,23,0
"669",66,23,1
"670",66,23,1
"671",66,23,1
"672",29,23,0
"673",64,23,0
"674",66,23,1
"675",66,23,1
"676",71,28,1
"677",39,28,0
"678",35,29,0
"679",53,28,0
"680",44,28,0
"681",52,29,0
"682",71,28,1
"683",58,28,0
"684",71,28,0
"685",55,28,0
"686",71,28,0
"687",31,28,0
"688",64,27,0
"689",32,28,0
"690",68,28,0
"691",66,23,1
"692",66,23,1
"693",27,23,0
"694",66,23,1
"695",52,23,0
"696",58,23,0
"697",63,23,0
"698",40,23,0
"699",39,23,0
"700",58,23,0
"701",66,23,1
"702",48,22,0
"703",25,23,0
"704",66,23,1
"705",65,22,1
"706",35,22,0
"707",32,22,0
"708",27,22,0
"709",55,22,0
"710",51,22,0
"711",65,22,1
"712",69,26,1
"713",42,26,0
"714",50,26,0
"715",57,26,0
"716",60,28,0
"717",39,26,0
"718",68,26,0
"719",54,26,0
"720",69,26,1
"721",63,26,0
"722",40,26,0
"723",47,26,0
"724",31,26,0
"725",53,26,0
"726",69,26,1
"727",69,26,1
"728",69,26,1
"729",63,26,0
"730",53,25,0
"731",30,26,0
"732",64,25,0
"733",58,25,0
"734",68,25,1
"735",42,25,0
"736",31,25,0
"737",69,26,1
"738",51,25,0
"739",61,18,1
"740",43,18,0
"741",24,18,0
"742",61,18,1
"743",54,18,0
"744",61,18,1
"745",60,17,1
"746",41,17,0
"747",60,17,1
"748",60,17,1
"749",52,17,0
"750",21,17,0
"751",19,17,0
"752",60,17,1
"753",54,17,0
"754",33,17,0
"755",41,17,0
"756",60,17,1
"757",54,17,0
"758",60,17,1
"759",25,17,0
"760",36,17,0
"761",39,17,0
"762",64,21,1
"763",64,21,0
"764",64,21,1
"765",51,21,0
"766",52,21,0
"767",25,21,0
"768",47,21,0
"769",52,21,0
"770",60,23,0
"771",61,23,0
"772",37,23,0
"773",66,23,0
"774",37,23,0
"775",31,23,0
"776",39,23,0
"777",66,23,1
"778",66,23,1
"779",63,22,0
"780",65,22,1
"781",36,22,0
"782",65,22,1
"783",32,22,0
"784",28,23,0
"785",30,22,0
"786",34,22,0
"787",58,22,0
"788",47,22,0
"789",41,26,0
"790",65,26,0
"791",61,26,0
"792",69,26,1
"793",37,26,0
"794",33,26,0
"795",69,26,1
"796",45,26,0
"797",60,26,0
"798",27,26,0
"799",59,26,0
"800",69,26,1
"801",69,26,1
"802",29,26,0
"803",69,26,1
"804",68,26,0
"805",69,26,1
"806",38,25,0
"807",40,25,0
"808",60,25,0
"809",34,25,0
"810",64,25,0
"811",68,25,1
"812",52,25,0
"813",61,25,0
"814",28,25,0
"815",48,25,0
"816",44,25,0
"817",68,25,1
"818",37,25,0
"819",68,25,1
"820",41,25,0
"821",29,25,0
"822",68,25,1
"823",44,25,0
"824",35,18,0
"825",43,18,0
"826",54,18,0
"827",51,17,0
"828",22,17,0
"829",60,17,1
"830",60,17,1
"831",53,17,0
"832",35,17,0
"833",60,17,1
"834",59,16,1
"835",34,17,0
"836",55,17,0
"837",60,17,1
"838",60,17,1
"839",38,21,0
"840",64,21,1
"841",64,21,1
"842",64,21,1
"843",36,21,0
"844",64,21,1
"845",64,21,1
"846",35,21,0
"847",62,21,0
"848",27,21,0
"849",64,21,1
"850",64,21,1
"851",64,21,1
"852",37,21,0
"853",29,22,0
"854",47,21,0
"855",64,21,1
"856",64,21,1
"857",21,13,0
"858",56,13,1
"859",26,13,0
"860",56,13,1
"861",47,12,0
"862",53,12,0
"863",18,13,0
"864",36,12,0
"865",56,13,1
"866",55,12,1
"867",37,12,0
"868",19,12,0
"869",56,13,1
"870",55,12,0
"871",49,12,0
"872",41,12,0
"873",55,12,1
"874",40,12,0
"875",50,12,0
"876",55,12,1
"877",55,12,1
"878",32,13,0
"879",56,13,1
"880",34,12,0
"881",41,12,0
"882",15,12,0
"883",55,12,1
"884",42,12,0
"885",34,12,0
"886",55,12,1
"887",51,12,0
"888",21,12,0
"889",16,12,0
"890",47,12,0
"891",40,12,0
"892",55,12,1
"893",36,12,0
"894",16,12,0
"895",55,12,1
"896",45,12,0
"897",63,20,1
"898",54,20,0
"899",46,20,0
"900",31,20,0
"901",63,20,1
"902",59,20,0
"903",63,20,1
"904",28,20,0
"905",43,20,0
"906",63,20,1
"907",27,20,0
"908",63,20,1
"909",63,20,1
"910",63,20,1
"911",40,20,0
"912",63,20,1
"913",62,19,1
"914",62,19,1
"915",27,19,0
"916",62,19,1
"917",62,19,1
"918",59,20,0
"919",62,19,1
"920",60,19,0
"921",51,19,0
"922",27,20,0
"923",24,19,0
"924",58,19,0
"925",54,19,0
"926",50,19,0
"927",30,19,0
"928",62,19,1
"929",62,19,0
"930",32,19,0
"931",56,19,0
"932",49,6,1
"933",44,21,0
"934",26,21,0
"935",64,21,0
"936",64,21,1
"937",60,21,0
"938",65,22,1
"939",33,20,0
"940",34,21,0
"941",64,21,1
"942",56,13,1
"943",56,13,1
"944",56,13,1
"945",48,13,0
"946",56,13,1
"947",34,13,0
"948",46,12,0
"949",55,12,0
"950",42,12,0
"951",50,12,0
"952",49,12,0
"953",55,12,0
"954",37,12,0
"955",55,12,1
"956",55,12,1
"957",55,12,1
"958",30,12,0
"959",55,12,1
"960",55,12,1
"961",44,12,0
"962",13,12,0
"963",55,12,1
"964",42,12,0
"965",51,12,0
"966",55,12,1
"967",55,12,1
"968",31,20,0
"969",57,20,0
"970",52,20,0
"971",63,20,1
"972",33,20,0
"973",62,20,0
"974",63,20,1
"975",63,20,1
"976",57,20,0
"977",40,19,0
"978",55,19,0
"979",60,19,0
"980",32,19,0
"981",59,19,0
"982",27,19,0
"983",62,19,1
"984",38,19,0
"985",26,19,0
"986",62,19,1
"987",62,19,1
"988",45,19,0
"989",27,19,0
"990",59,19,0
"991",35,19,0
"992",62,19,1
"993",62,19,1
"994",62,19,1
"995",61,19,0
"996",42,6,0
"997",49,6,1
"998",49,6,1
"999",33,6,0
"1000",15,6,0
"1001",11,6,0
"1002",46,6,0
"1003",49,6,1
"1004",20,6,0
"1005",49,6,1
"1006",33,6,0
"1007",49,6,1
"1008",49,6,1
"1009",17,6,0
"1010",46,6,0
"1011",49,6,1
"1012",41,6,0
"1013",49,6,1
"1014",49,6,1
"1015",41,6,0
"1016",41,6,0
"1017",49,6,1
"1018",49,6,1
"1019",32,6,0
"1020",7,6,0
"1021",49,6,0
"1022",47,6,0
