"","Z","Y","C"
"1",26,24,0
"2",26,24,0
"3",26,24,0
"4",26,21,0
"5",18,12,0
"6",26,12,0
"7",26,6,0
"8",24,6,0
"9",19,6,0
"10",26,7,0
"11",22,7,0
"12",26,7,0
"13",26,18,0
"14",26,6,0
"15",26,7,0
"16",14,7,0
"17",26,18,0
"18",26,15,0
"19",26,14,0
"20",18,14,0
"21",24,14,0
"22",26,18,0
"23",26,16,0
"24",26,15,0
"25",26,14,0
"26",26,13,0
"27",26,13,0
"28",26,12,0
"29",22,13,0
"30",16,13,0
"31",24,11,0
"32",26,10,0
"33",26,8,0
"34",10,8,0
"35",26,10,0
"36",26,10,0
"37",12,5,0
"38",8,5,0
"39",9,5,0
"40",9,5,0
"41",26,4,0
"42",26,4,0
"43",15,5,0
"44",26,23,0
"45",26,23,0
"46",26,22,0
"47",26,22,0
"48",26,22,0
"49",26,25,0
"50",23,17,0
"51",26,21,0
"52",26,21,0
"53",26,21,0
"54",26,21,0
"55",26,21,0
"56",26,20,0
"57",26,12,0
"58",13,12,0
"59",25,12,0
"60",16,12,0
"61",26,12,0
"62",26,12,0
"63",26,12,0
"64",26,12,0
"65",26,12,0
"66",26,19,0
"67",26,19,0
"68",26,19,0
"69",24,19,0
"70",26,19,0
"71",19,6,0
"72",8,6,0
"73",18,6,0
"74",26,5,0
"75",25,6,0
"76",22,6,0
"77",26,6,0
"78",23,6,0
"79",11,6,0
"80",26,6,0
"81",19,6,0
"82",10,6,0
"83",18,7,0
"84",12,7,0
"85",26,7,0
"86",14,7,0
"87",26,7,0
"88",26,8,0
"89",21,7,0
"90",25,18,0
"91",26,18,0
"92",26,16,0
"93",21,16,0
"94",17,16,0
"95",26,16,0
"96",26,16,0
"97",26,14,0
"98",26,14,0
"99",21,14,0
"100",26,14,0
"101",26,14,0
"102",26,14,0
"103",20,14,0
"104",26,13,0
"105",18,13,0
"106",26,13,0
"107",26,14,0
"108",26,13,0
"109",26,13,0
"110",26,13,0
"111",17,12,0
"112",26,12,0
"113",26,11,0
"114",16,11,0
"115",26,11,0
"116",22,11,0
"117",26,11,0
"118",26,11,0
"119",26,11,0
"120",26,10,0
"121",21,10,0
"122",26,10,0
"123",26,10,0
"124",26,10,0
"125",26,10,0
"126",17,10,0
"127",24,10,0
"128",14,10,0
"129",11,9,0
"130",26,10,0
"131",26,9,0
"132",26,9,0
"133",26,9,0
"134",26,8,0
"135",22,8,0
"136",26,8,0
"137",26,8,0
"138",16,8,0
"139",26,5,0
"140",21,5,0
"141",25,5,0
"142",26,5,0
"143",26,5,0
"144",26,5,0
"145",26,5,0
"146",17,5,0
"147",26,5,0
"148",18,5,0
"149",26,5,0
"150",18,4,0
"151",15,4,0
