"","Z","Y","C"
"1",39,34,0
"2",39,34,0
"3",39,33,0
"4",39,33,0
"5",39,33,0
"6",39,33,0
"7",39,32,0
"8",39,32,0
"9",39,32,0
"10",39,32,0
"11",39,32,0
"12",38,31,0
"13",33,31,0
"14",39,31,0
"15",39,31,0
"16",39,33,0
"17",39,33,0
"18",39,32,0
"19",39,30,0
"20",39,37,0
"21",39,36,0
"22",39,35,0
"23",39,35,0
"24",39,35,0
"25",39,25,0
"26",34,25,0
"27",38,25,0
"28",39,25,0
"29",39,25,0
"30",33,24,0
"31",39,29,0
"32",39,28,0
"33",39,28,0
"34",39,28,0
"35",39,28,0
"36",32,24,0
"37",39,37,0
"38",39,36,0
"39",39,36,0
"40",39,36,0
"41",31,25,0
"42",39,25,0
"43",38,24,0
"44",38,29,0
"45",39,29,0
"46",39,28,0
"47",34,28,0
"48",38,28,0
"49",34,28,0
"50",39,28,0
"51",39,28,0
"52",39,23,0
"53",29,23,0
"54",30,23,0
"55",30,23,0
"56",39,22,0
"57",39,22,0
"58",39,26,0
"59",39,26,0
"60",39,19,0
"61",20,18,0
"62",39,17,0
"63",39,17,0
"64",38,17,0
"65",39,22,0
"66",29,23,0
"67",39,22,0
"68",23,22,0
"69",24,22,0
"70",39,27,0
"71",39,26,0
"72",37,18,0
"73",39,17,0
"74",39,17,0
"75",39,21,0
"76",39,21,0
"77",39,13,0
"78",39,13,0
"79",37,21,0
"80",39,20,0
"81",39,20,0
"82",32,20,0
"83",36,19,0
"84",39,19,0
"85",39,21,0
"86",14,13,0
"87",32,20,0
"88",22,20,0
"89",34,19,0
"90",36,19,0
"91",8,6,0
"92",34,7,0
"93",11,7,0
"94",34,7,0
"95",39,7,0
"96",10,7,0
"97",13,7,0
"98",26,8,0
"99",39,19,0
"100",39,19,0
"101",37,6,0
"102",8,7,0
"103",32,7,0
"104",39,7,0
"105",39,7,0
"106",35,7,0
"107",29,7,0
"108",39,19,0
"109",31,19,0
"110",39,18,0
"111",39,18,0
"112",39,16,0
"113",39,16,0
"114",39,16,0
"115",39,16,0
"116",39,15,0
"117",39,15,0
"118",39,15,0
"119",25,15,0
"120",16,14,0
"121",36,19,0
"122",39,18,0
"123",28,18,0
"124",39,18,0
"125",20,18,0
"126",35,17,0
"127",39,16,0
"128",39,15,0
"129",39,15,0
"130",39,15,0
"131",19,15,0
"132",39,15,0
"133",38,14,0
"134",38,14,0
"135",39,14,0
"136",25,13,0
"137",38,12,0
"138",39,11,0
"139",25,11,0
"140",32,11,0
"141",16,11,0
"142",37,11,0
"143",39,14,0
"144",39,14,0
"145",15,13,0
"146",33,13,0
"147",39,12,0
"148",35,12,0
"149",39,12,0
"150",39,12,0
"151",21,11,0
"152",19,11,0
"153",21,11,0
"154",35,10,0
"155",39,10,0
"156",15,10,0
"157",39,10,0
"158",17,10,0
"159",23,10,0
"160",37,10,0
"161",39,10,0
"162",39,10,0
"163",31,9,0
"164",34,9,0
"165",10,9,0
"166",22,9,0
"167",10,9,0
"168",34,9,0
"169",24,10,0
"170",39,10,0
"171",11,10,0
"172",11,10,0
"173",13,9,0
"174",39,8,0
"175",37,8,0
"176",39,8,0
"177",11,8,0
"178",15,6,0
"179",39,6,0
"180",21,5,0
"181",39,6,0
"182",19,6,0
"183",10,5,0
"184",18,5,0
"185",39,33,0
"186",39,34,0
"187",39,33,0
"188",39,33,0
"189",39,33,0
"190",39,33,0
"191",39,33,0
"192",36,33,0
"193",39,33,0
"194",39,33,0
"195",39,33,0
"196",38,33,0
"197",39,33,0
"198",35,33,0
"199",39,33,0
"200",39,33,0
"201",39,33,0
"202",39,32,0
"203",38,32,0
"204",39,32,0
"205",39,32,0
"206",39,32,0
"207",37,32,0
"208",39,32,0
"209",39,32,0
"210",39,32,0
"211",39,32,0
"212",39,32,0
"213",39,32,0
"214",39,32,0
"215",39,32,0
"216",39,32,0
"217",39,32,0
"218",39,32,0
"219",39,32,0
"220",39,32,0
"221",39,32,0
"222",39,32,0
"223",39,32,0
"224",39,32,0
"225",39,32,0
"226",33,32,0
"227",39,32,0
"228",39,32,0
"229",39,32,0
"230",39,32,0
"231",39,32,0
"232",39,32,0
"233",39,32,0
"234",39,32,0
"235",32,31,0
"236",39,31,0
"237",39,31,0
"238",36,31,0
"239",36,31,0
"240",39,31,0
"241",39,31,0
"242",39,31,0
"243",39,31,0
"244",39,31,0
"245",39,31,0
"246",34,31,0
"247",36,31,0
"248",38,33,0
"249",39,31,0
"250",39,31,0
"251",39,31,0
"252",39,31,0
"253",36,31,0
"254",39,31,0
"255",39,31,0
"256",39,31,0
"257",39,31,0
