"","Z","Y","C"
"1",38,33,0
"2",38,33,0
"3",38,33,0
"4",34,33,0
"5",35,33,0
"6",38,33,0
"7",38,33,0
"8",38,32,0
"9",32,31,0
"10",38,32,0
"11",38,32,0
"12",36,31,0
"13",38,31,0
"14",38,32,0
"15",38,32,0
"16",38,32,0
"17",38,31,0
"18",32,31,0
"19",38,31,0
"20",38,30,0
"21",38,30,0
"22",31,30,0
"23",35,30,0
"24",38,30,0
"25",33,31,0
"26",38,37,0
"27",38,33,0
"28",37,33,0
"29",38,33,0
"30",38,31,0
"31",38,31,0
"32",38,31,0
"33",37,31,0
"34",36,31,0
"35",38,31,0
"36",38,31,0
"37",37,31,0
"38",38,31,0
"39",38,31,0
"40",38,31,0
"41",38,30,0
"42",38,30,0
"43",38,30,0
"44",38,36,0
"45",38,35,0
"46",38,34,0
"47",38,34,0
"48",38,34,0
"49",38,34,0
"50",34,25,0
"51",35,25,0
"52",30,24,0
"53",38,28,0
"54",32,28,0
"55",38,28,0
"56",31,28,0
"57",38,23,0
"58",26,23,0
"59",38,35,0
"60",38,35,0
"61",38,25,0
"62",38,24,0
"63",38,23,0
"64",38,28,0
"65",38,28,0
"66",38,28,0
"67",38,28,0
"68",38,28,0
"69",35,23,0
"70",34,23,0
"71",26,23,0
"72",38,23,0
"73",38,22,0
"74",38,22,0
"75",38,22,0
"76",38,22,0
"77",23,22,0
"78",38,26,0
"79",29,26,0
"80",38,25,0
"81",38,26,0
"82",28,17,0
"83",35,18,0
"84",38,17,0
"85",38,17,0
"86",27,21,0
"87",38,22,0
"88",22,21,0
"89",23,21,0
"90",38,22,0
"91",38,22,0
"92",38,22,0
"93",29,26,0
"94",38,26,0
"95",38,26,0
"96",30,25,0
"97",38,25,0
"98",36,18,0
"99",38,17,0
"100",38,17,0
"101",21,17,0
"102",38,17,0
"103",38,21,0
"104",38,21,0
"105",38,21,0
"106",37,21,0
"107",38,21,0
"108",38,21,0
"109",28,13,0
"110",32,12,0
"111",13,12,0
"112",30,12,0
"113",35,12,0
"114",38,20,0
"115",29,19,0
"116",35,20,0
"117",30,19,0
"118",38,19,0
"119",38,19,0
"120",38,19,0
"121",38,21,0
"122",34,21,0
"123",38,13,0
"124",22,13,0
"125",38,12,0
"126",29,12,0
"127",26,12,0
"128",31,12,0
"129",38,12,0
"130",38,12,0
"131",38,20,0
"132",38,20,0
"133",33,19,0
"134",28,19,0
"135",38,19,0
"136",38,19,0
"137",38,20,0
"138",38,19,0
"139",38,6,0
"140",14,6,0
"141",23,7,0
"142",31,7,0
"143",29,7,0
"144",38,7,0
"145",28,7,0
"146",38,7,0
"147",38,7,0
"148",38,7,0
"149",19,7,0
"150",34,7,0
"151",38,19,0
"152",38,19,0
"153",25,19,0
"154",38,18,0
"155",38,18,0
"156",23,6,0
"157",38,7,0
"158",37,6,0
"159",26,6,0
"160",14,7,0
"161",18,7,0
"162",38,7,0
"163",9,7,0
"164",11,7,0
"165",28,19,0
"166",20,18,0
"167",38,18,0
"168",38,18,0
"169",38,18,0
"170",31,18,0
"171",38,18,0
"172",36,16,0
"173",21,17,0
"174",36,16,0
"175",35,15,0
"176",18,15,0
"177",31,15,0
"178",38,15,0
"179",28,15,0
"180",38,15,0
"181",18,14,0
"182",37,14,0
"183",19,18,0
"184",38,18,0
"185",35,18,0
"186",37,16,0
"187",38,16,0
"188",38,15,0
"189",38,15,0
"190",26,14,0
"191",24,15,0
"192",29,15,0
"193",38,14,0
"194",22,14,0
"195",30,14,0
"196",25,14,0
"197",26,14,0
"198",21,13,0
"199",38,13,0
"200",38,13,0
"201",35,13,0
"202",38,12,0
"203",38,12,0
"204",22,11,0
"205",21,11,0
"206",38,11,0
"207",33,14,0
"208",38,14,0
"209",25,13,0
"210",36,13,0
"211",38,13,0
"212",38,12,0
"213",38,12,0
"214",17,12,0
"215",12,11,0
"216",30,11,0
"217",38,11,0
"218",38,11,0
"219",38,11,0
"220",38,11,0
"221",38,11,0
"222",38,11,0
"223",29,10,0
"224",38,10,0
"225",28,10,0
"226",37,10,0
"227",19,10,0
"228",38,9,0
"229",21,10,0
"230",38,9,0
"231",36,10,0
"232",38,8,0
"233",29,8,0
"234",32,10,0
"235",11,10,0
"236",33,9,0
"237",19,9,0
"238",12,8,0
"239",38,8,0
"240",25,8,0
"241",38,8,0
"242",38,6,0
"243",31,5,0
"244",38,5,0
"245",16,5,0
"246",25,5,0
"247",7,5,0
"248",18,5,0
"249",38,4,0
"250",38,7,0
"251",10,6,0
"252",19,6,0
"253",32,5,0
"254",10,5,0
"255",11,5,0
"256",25,5,0
"257",38,5,0
"258",38,5,0
"259",6,5,0
"262",38,33,0
"263",38,33,0
"264",38,33,0
"265",38,33,0
"266",37,33,0
"267",38,33,0
"268",38,33,0
"269",38,33,0
"270",38,33,0
"271",38,33,0
"272",38,34,0
"273",37,33,0
"274",38,32,0
"275",38,33,0
"276",38,32,0
"277",38,32,0
"278",38,32,0
"279",38,32,0
"280",38,32,0
"281",38,32,0
"282",38,32,0
"283",38,32,0
"284",38,32,0
"285",38,33,0
"286",38,32,0
"287",38,32,0
"288",38,32,0
"289",37,32,0
"290",38,32,0
"291",38,32,0
"292",37,32,0
"293",38,32,0
"294",38,32,0
"295",38,32,0
"296",38,32,0
"297",38,32,0
"298",38,32,0
"299",38,32,0
"300",38,32,0
"301",38,32,0
"302",38,31,0
"303",38,31,0
"304",38,32,0
"305",38,32,0
"306",38,31,0
"307",38,31,0
"308",38,31,0
"309",38,31,0
"310",38,31,0
"311",38,31,0
"312",38,31,0
"313",38,31,0
"314",38,31,0
"315",38,31,0
"316",38,31,0
"317",38,31,0
"318",38,31,0
"319",38,31,0
"320",38,31,0
"321",38,31,0
"322",38,31,0
"323",38,31,0
"324",38,31,0
"325",38,31,0
"326",38,31,0
"327",38,31,0
"328",38,31,0
"329",38,31,0
"330",38,31,0
"331",35,31,0
"332",38,31,0
"333",37,30,0
"334",38,30,0
"335",38,31,0
"336",38,30,0
"337",38,30,0
"338",38,30,0
"339",38,37,0
"340",38,37,0
"341",38,36,0
"342",38,36,0
"343",38,36,0
"344",38,36,0
"345",38,36,0
"346",38,36,0
"347",38,36,0
"348",38,36,0
"349",38,36,0
"350",37,36,0
"351",38,36,0
"352",38,36,0
"353",38,36,0
"354",38,36,0
"355",38,36,0
"356",38,36,0
"357",38,35,0
"358",38,35,0
"359",38,35,0
"360",38,35,0
"361",38,35,0
"362",38,35,0
"363",38,35,0
"364",38,35,0
"365",38,35,0
"366",38,35,0
"367",38,35,0
"368",38,35,0
"369",38,35,0
"370",38,35,0
"371",38,35,0
"372",38,35,0
"373",38,34,0
"374",38,35,0
"375",38,34,0
"376",38,34,0
"377",38,34,0
"378",37,34,0
"379",38,34,0
"380",38,34,0
"381",38,34,0
"382",38,34,0
"383",38,34,0
"384",38,34,0
"385",38,34,0
"386",38,34,0
"387",35,34,0
"388",38,34,0
"389",38,33,0
"390",38,34,0
"391",38,34,0
"392",34,33,0
"393",38,33,0
"394",38,33,0
"395",37,33,0
"396",38,33,0
"397",38,33,0
"398",38,33,0
"399",37,33,0
"400",38,33,0
"401",38,33,0
"402",38,34,0
"403",37,25,0
"404",38,25,0
"405",36,25,0
"406",30,24,0
"407",38,24,0
"408",30,24,0
"409",38,24,0
"410",38,24,0
"411",32,24,0
"412",37,24,0
"413",38,24,0
"414",30,24,0
"415",33,24,0
"416",38,24,0
"417",38,24,0
"418",38,25,0
"419",38,24,0
"420",38,24,0
"421",38,24,0
"422",26,24,0
"423",38,24,0
"424",35,24,0
"425",38,24,0
"426",38,24,0
"427",38,24,0
"428",38,24,0
"429",35,24,0
"430",38,24,0
"431",38,24,0
"432",38,24,0
"433",25,23,0
"434",38,23,0
"435",38,23,0
"436",38,29,0
"437",38,30,0
"438",38,29,0
"439",36,29,0
"440",38,29,0
"441",37,29,0
"442",38,29,0
"443",38,29,0
"444",38,29,0
"445",38,29,0
"446",38,29,0
"447",38,29,0
"448",38,29,0
"449",38,29,0
"450",38,29,0
"451",38,29,0
"452",38,29,0
"453",38,29,0
"454",38,28,0
"455",38,28,0
"456",38,28,0
"457",38,28,0
"458",38,28,0
"459",38,28,0
"460",38,28,0
"461",38,28,0
"462",38,28,0
"463",38,28,0
"464",38,28,0
"465",38,28,0
"466",36,28,0
"467",31,28,0
"468",38,28,0
"469",38,28,0
"470",32,28,0
"471",38,28,0
"472",38,28,0
"473",38,27,0
"474",38,27,0
"475",38,27,0
"476",38,28,0
"477",34,27,0
"478",37,27,0
"479",38,27,0
"480",38,27,0
"481",37,27,0
"482",31,27,0
"483",31,27,0
"484",34,27,0
"485",38,27,0
"486",34,27,0
"487",38,27,0
"488",38,27,0
"489",38,27,0
"490",29,27,0
"491",34,27,0
"492",32,27,0
"493",38,27,0
"494",35,23,0
"495",35,23,0
"496",35,23,0
"497",38,23,0
"498",38,23,0
"499",32,23,0
"500",38,23,0
"501",38,23,0
"502",38,23,0
"503",38,23,0
"504",36,23,0
"505",34,23,0
"506",25,22,0
"507",38,22,0
"508",38,22,0
"509",37,22,0
"510",38,22,0
"511",38,22,0
"512",38,22,0
"513",38,22,0
"514",23,22,0
"515",37,22,0
"516",38,23,0
"517",38,22,0
"518",37,22,0
"519",38,22,0
"520",38,22,0
"521",38,22,0
"522",38,22,0
"523",38,22,0
"524",38,22,0
"525",36,22,0
"526",38,22,0
"527",28,22,0
"528",38,22,0
"529",38,22,0
"530",38,27,0
"531",38,27,0
"532",38,27,0
"533",38,26,0
"534",27,26,0
"535",38,26,0
"536",38,26,0
"537",38,27,0
"538",38,26,0
"539",38,26,0
"540",38,26,0
"541",38,27,0
"542",33,26,0
"543",38,26,0
"544",38,26,0
"545",38,26,0
"546",38,26,0
"547",38,26,0
"548",38,26,0
"549",38,26,0
"550",38,26,0
"551",38,26,0
"552",38,26,0
"553",37,26,0
"554",38,26,0
"555",38,26,0
"556",38,25,0
"557",38,25,0
"558",35,25,0
"559",38,25,0
"560",38,25,0
"561",36,25,0
"562",38,25,0
"563",38,25,0
"564",38,25,0
"565",36,25,0
"566",38,25,0
"567",38,25,0
"568",38,25,0
"569",38,25,0
"570",38,26,0
"571",38,25,0
"572",38,25,0
"573",38,25,0
"574",38,25,0
"575",34,25,0
"576",38,25,0
"577",27,25,0
"578",38,25,0
"579",38,25,0
"580",30,25,0
"581",26,25,0
"582",38,25,0
"583",34,25,0
"584",38,25,0
"585",33,25,0
"586",38,17,0
"587",38,19,0
"588",18,17,0
"589",34,17,0
"590",29,17,0
"591",38,17,0
"592",20,17,0
"593",35,17,0
"594",38,17,0
"595",27,17,0
"596",18,17,0
"597",38,17,0
"598",38,17,0
"599",38,17,0
"600",28,17,0
"601",26,17,0
"602",38,17,0
"603",38,17,0
"604",38,17,0
"605",38,17,0
"606",38,17,0
"607",19,17,0
"608",27,17,0
"609",38,16,0
"610",36,22,0
"611",38,21,0
"612",38,22,0
"613",38,21,0
"614",27,21,0
"615",38,22,0
"616",38,22,0
"617",38,21,0
"618",33,21,0
"619",38,21,0
"620",38,21,0
"621",38,21,0
"622",38,21,0
"623",38,21,0
"624",38,21,0
"625",38,21,0
"626",38,21,0
"627",38,21,0
"628",27,21,0
"629",37,21,0
"630",38,21,0
"631",38,21,0
"632",38,21,0
"633",38,21,0
"634",36,21,0
"635",34,21,0
"636",38,21,0
"637",32,20,0
"638",38,21,0
"639",38,20,0
"640",38,21,0
"641",38,20,0
"642",31,20,0
"643",38,20,0
"644",38,21,0
"645",36,21,0
"646",37,20,0
"647",38,20,0
"648",38,13,0
"649",29,13,0
"650",38,13,0
"651",22,12,0
"652",38,12,0
"653",22,12,0
"654",26,12,0
"655",34,12,0
"656",35,12,0
"657",38,12,0
"658",38,12,0
"659",38,12,0
"660",38,12,0
"661",38,12,0
"662",30,12,0
"663",38,12,0
"664",38,14,0
"665",17,12,0
"666",38,12,0
"667",17,12,0
"668",38,12,0
"669",38,12,0
"670",38,12,0
"671",38,12,0
"672",38,12,0
"673",38,20,0
"674",38,20,0
"675",34,20,0
"676",38,20,0
"677",33,20,0
"678",24,20,0
"679",38,20,0
"680",30,20,0
"681",35,20,0
"682",38,20,0
"683",38,20,0
"684",38,20,0
"685",38,20,0
"686",38,20,0
"687",38,20,0
"688",38,20,0
"689",38,20,0
"690",33,20,0
"691",38,20,0
"692",38,20,0
"693",38,20,0
"694",26,20,0
"695",35,20,0
"696",38,19,0
"697",32,19,0
"698",38,19,0
"699",38,19,0
"700",38,19,0
"701",38,19,0
"702",25,19,0
"703",26,19,0
"704",28,19,0
"705",38,19,0
"706",35,19,0
"707",38,19,0
"708",38,19,0
"709",24,19,0
"710",38,19,0
"711",36,19,0
"712",31,19,0
"713",24,19,0
"714",38,20,0
"715",38,19,0
"716",36,19,0
"717",38,19,0
"718",37,19,0
"719",38,19,0
"720",31,19,0
"721",38,19,0
"722",38,19,0
"723",20,6,0
"724",26,6,0
"725",38,6,0
"726",38,6,0
"727",38,6,0
"728",32,6,0
"729",34,6,0
"730",19,6,0
"731",23,6,0
"732",30,6,0
"733",14,6,0
"734",28,6,0
"735",38,6,0
"736",32,6,0
"737",29,6,0
"738",38,7,0
"739",38,6,0
"740",27,6,0
"741",8,6,0
"742",32,6,0
"743",28,6,0
"744",32,6,0
"745",36,5,0
"746",9,6,0
"747",38,6,0
"748",38,6,0
"749",38,6,0
"750",38,6,0
"751",21,6,0
"752",35,6,0
"753",9,6,0
"754",20,6,0
"755",38,6,0
"756",38,6,0
"757",7,6,0
"758",38,6,0
"759",38,6,0
"760",8,6,0
"761",7,6,0
"762",17,6,0
"763",38,7,0
"764",25,6,0
"765",34,6,0
"766",18,7,0
"767",19,6,0
"768",38,7,0
"769",11,6,0
"770",38,7,0
"771",36,6,0
"772",24,7,0
"773",38,7,0
"774",27,7,0
"775",14,7,0
"776",38,7,0
"777",24,7,0
"778",16,7,0
"779",38,7,0
"780",19,7,0
"781",16,7,0
"782",38,7,0
"783",38,7,0
"784",38,7,0
"785",37,7,0
"786",15,7,0
"787",14,7,0
"788",38,7,0
"789",31,7,0
"790",23,7,0
"791",32,7,0
"792",30,7,0
"793",35,7,0
"794",38,7,0
"795",38,7,0
"796",38,7,0
"797",38,7,0
"798",13,7,0
"799",38,7,0
"800",29,7,0
"801",38,7,0
"802",38,7,0
"803",15,7,0
"804",9,7,0
"805",29,7,0
"806",28,7,0
"807",38,7,0
"808",29,7,0
"809",12,7,0
"810",38,7,0
"811",38,7,0
"812",38,7,0
"813",38,8,0
"814",14,8,0
"815",38,7,0
"816",24,7,0
"817",21,7,0
"818",32,7,0
"819",20,7,0
"820",24,7,0
"821",38,7,0
"822",38,7,0
"823",23,7,0
"824",20,7,0
"825",38,19,0
"826",30,19,0
"827",38,19,0
"828",25,19,0
"829",38,18,0
"830",37,19,0
"831",37,18,0
"832",28,18,0
"833",37,18,0
"834",36,18,0
"835",38,18,0
"836",20,18,0
"837",38,18,0
"838",38,18,0
"839",28,18,0
"840",38,18,0
"841",30,18,0
"842",38,18,0
"843",29,18,0
"844",38,18,0
"845",38,18,0
"846",33,18,0
"847",22,18,0
"848",26,18,0
"849",35,18,0
"850",38,18,0
"851",37,18,0
"852",38,16,0
"853",32,16,0
"854",38,16,0
"855",38,17,0
"856",23,16,0
"857",38,16,0
"858",28,16,0
"859",23,16,0
"860",38,16,0
"861",38,16,0
"862",19,16,0
"863",38,16,0
"864",38,16,0
"865",27,15,0
"866",38,15,0
"867",38,16,0
"868",23,15,0
"869",21,15,0
"870",38,15,0
"871",38,15,0
"872",38,15,0
"873",38,15,0
"874",24,15,0
"875",38,15,0
"876",28,15,0
"877",38,15,0
"878",38,15,0
