"","Z","Y","C"
"1",26,14,0
"2",26,20,0
"3",23,14,0
"4",26,14,0
"5",22,7,0
"6",14,7,0
"7",24,15,0
"8",10,7,0
"9",26,6,0
"10",24,14,0
"11",23,14,0
"12",26,13,0
"13",26,21,0
"14",26,18,0
"15",22,18,0
"16",24,11,0
"17",26,21,0
"18",26,7,0
"19",9,5,0
"20",26,5,0
"21",19,17,0
"22",8,7,0
"23",26,20,0
"24",26,11,0
"25",21,11,0
"26",21,4,0
"27",26,17,0
"28",26,12,0
"29",18,13,0
"30",26,4,0
"31",16,5,0
"32",22,8,0
"33",26,5,0
"34",10,9,0
"35",17,3,0
"36",12,6,0
"37",18,6,0
"38",8,6,0
"39",26,14,0
"40",26,7,0
"41",15,7,0
"42",12,8,0
"43",26,10,0
"44",26,3,0
"45",26,3,0
"46",26,21,0
"47",25,7,0
"48",26,6,0
"49",26,3,0
"50",6,3,0
"51",26,16,0
"52",25,16,0
"53",7,3,0
"54",17,7,0
"55",23,6,0
"56",26,8,0
"57",26,3,0
"58",26,21,0
"59",26,21,0
"60",18,6,0
"61",26,13,0
"62",19,6,0
"63",26,9,0
"64",26,14,0
"65",26,12,0
"66",26,19,0
"67",26,12,0
"68",19,6,0
"69",17,12,0
"70",17,6,0
"71",26,6,0
"72",10,6,0
"73",26,19,0
"74",26,12,0
"75",9,6,0
"76",10,6,0
"77",26,19,0
"78",20,12,0
"79",26,6,0
"80",7,6,0
"81",12,6,0
"82",26,6,0
"83",21,12,0
"84",20,6,0
"85",26,5,0
"86",17,6,0
"87",26,6,0
"88",21,5,0
"89",14,6,0
"90",15,5,0
"91",18,5,0
"92",12,5,0
"93",24,12,0
"94",26,5,0
"95",26,10,0
"96",26,17,0
"97",26,5,0
"98",21,11,0
"99",25,11,0
"100",21,5,0
"101",26,5,0
"102",10,5,0
"103",17,4,0
"104",26,5,0
"105",26,5,0
"106",26,4,0
"107",26,10,0
"108",6,4,0
"109",22,10,0
"110",26,18,0
"111",25,4,0
"112",26,4,0
"113",26,10,0
"114",26,4,0
"115",26,4,0
"116",26,10,0
"117",20,10,0
"118",26,19,0
"119",26,4,0
"120",18,9,0
"121",18,9,0
"122",15,10,0
"123",26,10,0
"124",13,10,0
"125",26,9,0
"126",18,4,0
"127",26,17,0
"128",14,4,0
"129",15,4,0
"130",19,16,0
"131",15,4,0
"132",26,17,0
"133",17,5,0
"134",26,10,0
"135",20,3,0
"136",15,9,0
"137",10,4,0
"138",8,4,0
"139",23,3,0
"140",12,9,0
"141",26,16,0
"142",12,6,0
"143",12,3,0
"144",26,19,0
"145",25,3,0
"146",11,9,0
"147",12,9,0
"148",18,9,0
"149",22,9,0
"150",26,9,0
"151",12,3,0
"152",25,3,0
"153",12,3,0
"154",26,3,0
"155",18,15,0
"156",20,4,0
"157",18,3,0
"158",26,16,0
"159",26,16,0
"160",9,4,0
"161",24,9,0
"162",26,9,0
"163",26,4,0
"164",26,8,0
"165",26,16,0
"166",26,9,0
"167",15,9,0
"168",24,3,0
"169",12,8,0
"170",4,3,0
"171",26,8,0
"172",26,3,0
"173",26,3,0
"174",25,8,0
"175",26,22,0
"176",26,22,0
"177",13,3,0
"178",26,7,0
