"","Zi","Yi","Ci","Di"
"1",75,70,0,1
"2",75,70,0,1
"3",75,70,0,1
"4",70,68,0,1
"5",75,68,0,1
"6",75,68,0,1
"7",75,68,0,1
"8",74,68,0,1
"9",70,68,0,1
"10",75,68,0,1
"11",75,68,0,1
"12",73,68,0,1
"13",71,67,0,1
"14",75,67,0,1
"15",75,67,0,1
"16",75,67,0,1
"17",75,67,0,1
"18",75,67,0,1
"19",75,67,0,1
"20",75,67,0,1
"21",75,68,0,1
"22",75,67,0,1
"23",74,67,0,1
"24",75,67,0,1
"25",75,67,0,1
"26",75,67,0,1
"27",75,67,0,1
"28",73,68,0,1
"29",75,68,0,1
"30",75,68,0,1
"31",75,68,0,1
"32",73,67,0,1
"33",75,67,0,1
"34",73,67,0,1
"35",74,67,0,1
"36",75,67,0,1
"37",74,67,0,1
"38",75,67,0,1
"39",75,67,0,1
"40",69,67,0,1
"41",75,67,0,1
"42",75,67,0,1
"43",74,67,0,1
"44",75,67,0,1
"45",75,67,0,1
"46",75,67,0,1
"47",75,67,0,1
"48",75,67,0,1
"49",75,67,0,1
"50",75,67,0,1
"51",75,69,0,1
"52",75,68,0,1
"53",75,68,0,1
"54",75,68,0,1
"55",75,68,0,1
"56",75,68,0,1
"57",75,68,0,1
"58",75,68,0,1
"59",75,68,0,1
"60",75,68,0,1
"61",75,68,0,1
"62",75,67,0,1
"63",75,67,0,1
"64",74,67,0,1
"65",75,65,0,1
"66",75,65,0,1
"67",75,65,0,1
"68",70,65,0,1
"69",70,64,0,1
"70",66,64,0,1
"71",75,64,0,1
"72",75,64,0,1
"73",75,64,0,1
"74",75,64,0,1
"75",66,64,0,1
"76",70,64,0,1
"77",68,63,0,1
"78",75,63,0,1
"79",75,63,0,1
"80",74,63,0,1
"81",74,63,0,1
"82",75,63,0,1
"83",75,66,0,1
"84",69,66,0,1
"85",75,66,0,1
"86",75,66,0,1
"87",75,66,0,1
"88",75,66,0,1
"89",74,65,0,1
"90",75,65,0,1
"91",65,64,0,1
"92",70,64,0,1
"93",75,64,0,1
"94",75,64,0,1
"95",75,63,0,1
"96",75,63,0,1
"97",75,63,0,1
"98",69,63,0,1
"99",74,63,0,1
"100",75,63,0,1
"101",75,63,0,1
"102",66,63,0,1
"103",75,63,0,1
"104",75,63,0,1
"105",75,63,0,1
"106",70,63,0,1
"107",75,63,0,1
"108",65,63,0,1
"109",74,63,0,1
"110",75,63,0,1
"111",75,63,0,1
"112",75,62,0,1
"113",75,62,0,1
"114",75,63,0,1
