"","Zi","Yi","Ci","Di"
"1",39,34,0,1
"2",39,34,0,1
"3",39,33,0,1
"4",39,33,0,1
"5",39,33,0,1
"6",39,33,0,1
"7",39,32,0,1
"8",39,32,0,1
"9",39,32,0,1
"10",39,32,0,1
"11",39,32,0,1
"12",38,31,0,1
"13",35,31,0,1
"14",33,31,0,1
"15",32,31,0,1
"16",39,31,0,1
"17",39,31,0,1
"18",39,33,0,1
"19",39,33,0,1
"20",39,32,0,1
"21",39,30,0,1
"22",39,37,0,1
"23",39,36,0,1
"24",39,35,0,1
"25",39,35,0,1
"26",39,35,0,1
"27",39,25,0,1
"28",34,25,0,1
"29",38,25,0,1
"30",39,25,0,1
"31",39,25,0,1
"32",33,24,0,1
"33",39,29,0,1
"34",39,28,0,1
"35",39,28,0,1
"36",39,28,0,1
"37",39,28,0,1
"38",39,28,0,1
"39",32,24,0,1
"40",39,37,0,1
"41",39,36,0,1
"42",39,36,0,1
"43",39,36,0,1
"44",31,25,0,1
"45",39,25,0,1
"46",38,24,0,1
"47",38,29,0,1
"48",39,29,0,1
"49",39,28,0,1
"50",34,28,0,1
"51",38,28,0,1
"52",34,28,0,1
"53",39,28,0,1
"54",39,28,0,1
"55",39,23,0,1
"56",29,23,0,1
"57",30,23,0,1
"58",30,23,0,1
"59",39,22,0,1
"60",39,22,0,1
"61",39,26,0,1
"62",39,26,0,1
"63",39,19,0,1
"64",20,18,0,1
"65",39,17,0,1
"66",39,17,0,1
"67",38,17,0,1
"68",39,22,0,1
"69",29,23,0,1
"70",39,22,0,1
"71",23,22,0,1
"72",24,22,0,1
"73",39,27,0,1
"74",39,26,0,1
"75",36,18,0,1
"76",37,18,0,1
"77",39,17,0,1
"78",39,17,0,1
"79",39,17,0,1
"80",39,21,0,1
"81",39,21,0,1
"82",39,21,0,1
"83",39,13,0,1
"84",39,13,0,1
"85",39,13,0,1
"86",37,21,0,1
"87",39,20,0,1
"88",39,20,0,1
"89",32,20,0,1
"90",36,19,0,1
"91",39,19,0,1
"92",39,19,0,1
"93",32,6,0,1
"94",35,6,0,1
"95",39,21,0,1
"96",14,13,0,1
"97",32,20,0,1
"98",22,20,0,1
"99",34,19,0,1
"100",25,20,0,1
"101",36,19,0,1
"102",39,6,0,1
"103",8,6,0,1
"104",39,6,0,1
"105",34,7,0,1
"106",11,7,0,1
"107",37,7,0,1
"108",34,7,0,1
"109",39,7,0,1
"110",20,7,0,1
"111",30,7,0,1
"112",35,7,0,1
"113",10,7,0,1
"114",13,7,0,1
"115",26,8,0,1
"116",39,19,0,1
"117",39,19,0,1
"118",37,6,0,1
"119",28,6,0,1
"120",39,6,0,1
