"","Zi","Yi","Ci","Di"
"1",68,52,0,1
"2",54,47,0,1
"3",69,60,0,1
"4",66,52,0,1
"5",66,49,0,1
"6",69,47,0,1
"7",69,47,0,1
"8",69,47,0,1
"9",69,56,0,1
"10",61,40,0,1
"11",69,53,0,1
"12",55,43,0,1
"13",65,39,0,1
"14",63,39,0,1
"15",65,39,0,1
"16",45,39,0,1
"17",48,33,0,1
"18",64,33,0,1
"19",69,37,1,1
"20",64,36,0,1
"21",37,35,0,1
"22",49,24,0,1
"23",69,29,0,1
"24",69,29,0,1
"25",65,28,0,1
"26",66,28,0,1
"27",54,37,0,1
"28",69,29,0,1
"29",64,29,0,1
"30",69,28,0,1
"31",53,28,0,1
"32",41,22,0,1
"33",43,18,0,1
"34",20,17,0,1
"35",48,17,0,1
"36",28,18,0,1
"37",19,17,0,1
"38",60,17,1,0
"39",60,17,1,0
"40",23,21,0,1
"41",42,13,0,1
"42",26,13,0,1
"43",49,13,0,1
"44",56,13,1,0
"45",56,13,1,0
"46",59,19,0,1
"47",22,6,0,1
"48",64,21,1,0
"49",37,13,0,1
"50",37,12,0,1
"51",33,6,0,1
"52",15,6,0,1
"53",47,6,0,1
"54",38,6,0,1
"55",50,7,1,0
"56",38,7,0,1
"57",50,7,1,0
"58",62,19,1,0
"59",21,19,0,1
"60",62,19,1,0
"61",20,6,0,1
"62",39,6,0,1
"63",49,7,0,1
"64",35,7,0,1
"65",27,16,0,1
"66",59,16,1,0
"67",48,15,0,1
"68",50,14,0,1
"69",57,14,1,0
"70",59,16,1,0
"71",58,15,1,0
"72",52,14,0,1
"73",50,14,0,1
"74",55,12,1,0
"75",46,11,0,1
"76",17,14,0,1
"77",52,14,0,1
"78",29,14,0,1
"79",56,13,1,0
"80",56,13,1,0
"81",16,13,0,1
"82",54,11,1,0
"83",52,11,0,1
"84",54,11,1,0
"85",54,11,1,0
"86",54,11,1,0
"87",54,11,1,0
"88",16,10,0,1
"89",53,10,1,0
"90",53,10,1,0
"91",36,9,0,1
"92",25,9,0,1
"93",11,10,0,1
"94",53,10,1,0
"95",22,9,0,1
"96",52,9,1,0
"97",52,9,1,0
"98",10,8,0,1
"99",49,6,1,0
"100",10,6,0,1
"101",41,6,0,1
"102",9,6,0,1
"103",29,6,0,1
"104",67,61,0,1
"105",66,59,0,1
"106",68,56,0,1
"107",60,55,0,1
"108",62,53,0,1
"109",69,63,0,1
"110",69,56,0,1
"111",69,53,0,1
"112",69,53,0,1
"113",69,58,0,1
"114",69,51,0,1
"115",69,51,0,1
"116",69,51,0,1
"117",56,50,0,1
"118",51,50,0,1
"119",69,50,0,1
"120",69,50,0,1
"121",56,50,0,1
"122",59,49,0,1
"123",69,49,0,1
"124",69,48,0,1
"125",69,48,0,1
"126",59,46,0,1
"127",69,64,0,1
"128",69,59,0,1
"129",63,62,0,1
"130",69,59,0,1
"131",69,64,0,1
"132",69,59,0,1
"133",64,56,0,1
"134",62,57,0,1
"135",64,52,0,1
"136",69,57,0,1
"137",64,57,0,1
"138",65,45,0,1
"139",69,45,0,1
"140",69,45,0,1
"141",58,44,0,1
"142",69,44,0,1
"143",69,44,0,1
"144",69,43,0,1
"145",60,42,0,1
"146",66,42,0,1
"147",69,41,0,1
"148",69,41,0,1
"149",69,40,0,1
"150",69,40,0,1
"151",58,38,0,1
"152",68,33,0,1
"153",40,32,0,1
"154",53,32,0,1
"155",58,32,0,1
"156",69,32,0,1
"157",53,32,0,1
"158",46,31,0,1
"159",45,31,0,1
"160",58,31,0,1
"161",69,31,0,1
"162",58,30,0,1
"163",55,30,0,1
"164",69,30,0,1
"165",69,30,0,1
"166",69,30,0,1
"167",69,30,1,1
"168",69,37,0,1
"169",47,37,0,1
"170",69,36,0,1
"171",57,35,0,1
"172",38,34,0,1
"173",66,34,0,1
"174",38,34,0,1
"175",31,24,0,1
"176",47,24,0,1
"177",67,24,1,0
"178",67,24,1,0
"179",37,24,0,1
"180",67,24,0,1
"181",66,24,0,1
"182",67,29,0,1
"183",69,29,0,1
"184",49,29,0,1
"185",58,28,0,1
"186",65,28,0,1
"187",69,28,0,1
"188",62,28,0,1
"189",53,29,0,1
"190",36,27,0,1
"191",56,27,0,1
"192",58,27,0,1
"193",63,23,0,1
"194",63,23,0,1
"195",66,23,1,0
"196",51,23,0,1
"197",60,24,0,1
"198",59,23,0,1
"199",34,22,0,1
"200",51,22,0,1
"201",40,27,0,1
"202",68,26,0,1
"203",50,26,0,1
"204",39,26,0,1
"205",60,26,0,1
"206",69,26,0,1
"207",64,26,0,1
"208",54,17,0,1
"209",58,17,0,1
"210",24,17,0,1
"211",53,17,0,1
"212",23,17,0,1
"213",57,17,0,1
"214",36,17,0,1
"215",46,17,0,1
"216",63,22,0,1
"217",59,22,0,1
"218",65,22,1,0
"219",31,21,0,1
"220",39,21,0,1
"221",47,21,0,1
"222",64,21,1,0
"223",37,21,0,1
"224",44,21,0,1
"225",45,13,0,1
"226",46,13,0,1
"227",42,13,0,1
"228",24,13,0,1
"229",25,13,0,1
"230",27,13,0,1
"231",28,13,0,1
"232",28,13,0,1
"233",56,13,1,0
"234",30,12,0,1
"235",55,12,1,0
"236",56,20,0,1
"237",56,20,0,1
"238",63,20,1,0
"239",56,20,0,1
"240",63,20,1,0
"241",62,19,1,0
"242",49,6,1,0
"243",49,6,1,0
"244",27,6,0,1
"245",49,6,1,0
