"","Zi","Yi","Ci","Di"
"1",66,63,0,1
"2",66,47,0,1
"3",64,57,0,1
"4",64,57,0,1
"5",65,52,0,1
"6",66,52,0,1
"7",66,47,0,1
"8",57,55,0,1
"9",63,41,0,1
"10",66,41,0,1
"11",66,41,0,1
"12",48,39,0,1
"13",54,33,0,1
"14",55,33,0,1
"15",66,32,0,1
"16",66,31,0,1
"17",59,37,0,1
"18",63,37,0,1
"19",50,37,0,1
"20",51,43,0,1
"21",45,41,0,1
"22",62,39,0,1
"23",59,33,0,1
"24",66,33,0,1
"25",42,31,0,1
"26",56,30,0,1
"27",38,36,0,1
"28",46,36,0,1
"29",35,25,0,1
"30",64,25,0,1
"31",28,25,0,1
"32",65,25,0,1
"33",66,24,0,1
"34",40,28,0,1
"35",37,28,0,1
"36",52,28,0,1
"37",40,28,0,1
"38",51,28,0,1
"39",66,36,0,1
"40",42,34,0,1
"41",66,25,0,1
"42",66,25,0,1
"43",27,24,0,1
"44",42,24,0,1
"45",40,29,0,1
"46",58,28,0,1
"47",59,23,0,1
"48",65,23,0,1
"49",50,23,0,1
"50",24,23,0,1
"51",39,26,0,1
"52",61,18,1,0
"53",61,18,1,0
"54",33,17,0,1
"55",45,23,0,1
"56",56,23,0,1
"57",62,22,0,1
"58",65,22,1,0
"59",28,22,0,1
"60",54,25,0,1
"61",51,18,0,1
"62",47,18,0,1
"63",22,18,0,1
"64",40,17,0,1
"65",60,17,1,0
"66",39,17,0,1
"67",59,21,0,1
"68",64,21,1,0
"69",30,21,0,1
"70",38,13,0,1
"71",32,20,0,1
"72",35,20,0,1
"73",20,19,0,1
"74",62,19,1,0
"75",52,19,0,1
"76",62,19,1,0
"77",17,6,0,1
"78",49,13,0,1
"79",15,13,0,1
"80",56,13,1,0
"81",27,13,0,1
"82",19,13,0,1
"83",15,12,0,1
"84",20,19,0,1
"85",62,19,1,0
"86",49,6,1,0
"87",49,6,0,1
"88",21,6,0,1
"89",14,6,0,1
"90",44,6,0,1
"91",49,6,1,0
"92",31,6,0,1
"93",50,7,1,0
"94",17,7,0,1
"95",50,7,1,0
"96",50,7,1,0
"97",50,7,1,0
"98",50,7,1,0
"99",18,7,0,1
"100",34,7,0,1
"101",50,7,1,0
"102",51,8,1,0
"103",42,6,0,1
"104",49,6,1,0
"105",49,6,1,0
"106",50,7,1,0
"107",32,19,0,1
"108",61,18,1,0
"109",61,18,1,0
"110",59,16,1,0
"111",55,15,0,1
"112",58,15,1,0
"113",19,15,0,1
"114",45,15,0,1
"115",61,18,1,0
"116",59,16,1,0
"117",40,15,0,1
"118",58,15,1,0
"119",57,14,1,0
"120",57,14,1,0
"121",26,13,0,1
"122",57,14,1,0
"123",57,14,1,0
"124",46,13,0,1
"125",56,13,1,0
"126",55,12,1,0
"127",34,12,0,1
"128",38,11,0,1
"129",54,11,1,0
"130",21,14,0,1
"131",52,14,0,1
"132",38,14,0,1
"133",57,14,1,0
"134",39,14,0,1
"135",57,14,1,0
"136",50,13,0,1
"137",34,13,0,1
"138",55,12,1,0
"139",48,12,0,1
"140",55,12,1,0
"141",24,11,0,1
"142",54,11,1,0
"143",43,11,0,1
"144",38,11,0,1
"145",54,11,1,0
"146",50,11,0,1
"147",40,10,0,1
"148",53,10,1,0
"149",53,10,1,0
"150",32,10,0,1
"151",38,10,0,1
"152",27,9,0,1
"153",23,9,0,1
"154",13,9,0,1
"155",52,9,1,0
"156",52,9,1,0
"157",43,10,0,1
"158",25,10,0,1
"159",53,10,1,0
"160",37,9,0,1
"161",49,9,0,1
"162",51,8,1,0
"163",11,8,0,1
"164",30,8,0,1
"165",20,8,0,1
"166",37,8,0,1
"167",51,8,1,0
"168",51,8,1,0
"169",45,6,0,1
"170",7,6,0,1
"171",48,6,0,1
"172",21,6,0,1
"173",34,6,0,1
"174",66,62,0,1
"175",66,56,0,1
"176",60,54,0,1
"177",66,53,0,1
"178",66,53,0,1
"179",65,61,0,1
"180",66,55,0,1
"181",61,55,0,1
"182",63,53,0,1
"183",66,57,0,1
"184",66,54,0,1
"185",66,58,0,1
"186",65,50,0,1
"187",66,50,0,1
"188",65,50,0,1
"189",66,48,0,1
"190",53,46,0,1
"191",53,46,0,1
"192",66,64,0,1
"193",66,60,0,1
"194",65,59,0,1
"195",66,61,0,1
"196",66,61,0,1
"197",65,57,0,1
"198",66,56,0,1
"199",66,58,0,1
"200",66,56,0,1
"201",55,54,0,1
"202",66,58,0,1
"203",66,57,0,1
"204",66,57,0,1
"205",63,57,0,1
"206",66,56,0,1
"207",66,55,0,1
"208",66,54,0,1
"209",58,53,0,1
"210",63,57,0,1
"211",66,45,0,1
"212",63,44,0,1
"213",53,44,0,1
"214",66,44,0,1
"215",66,43,0,1
"216",61,41,0,1
"217",47,40,0,1
"218",52,40,0,1
"219",50,40,0,1
"220",59,40,0,1
"221",52,40,0,1
"222",66,40,0,1
"223",66,40,0,1
"224",41,39,0,1
"225",66,39,0,1
"226",66,39,0,1
"227",58,39,0,1
"228",46,39,0,1
"229",63,33,0,1
"230",34,33,0,1
"231",41,32,0,1
"232",66,32,0,1
"233",63,32,0,1
"234",66,32,0,1
"235",66,32,0,1
"236",66,31,0,1
"237",64,31,0,1
"238",40,31,0,1
"239",55,31,0,1
"240",66,31,0,1
"241",38,31,0,1
"242",66,31,0,1
"243",43,30,0,1
"244",56,30,0,1
"245",66,30,0,1
"246",64,30,0,1
"247",66,38,0,1
"248",59,38,0,1
"249",43,37,0,1
"250",51,37,0,1
"251",57,37,0,1
"252",66,36,0,1
"253",58,36,0,1
"254",43,36,0,1
"255",65,35,0,1
"256",38,35,0,1
"257",55,35,0,1
"258",55,35,0,1
"259",41,34,0,1
"260",66,34,0,1
"261",39,34,0,1
"262",62,34,0,1
"263",51,25,0,1
"264",45,25,0,1
"265",66,25,0,1
"266",34,25,0,1
"267",66,24,0,1
"268",64,24,0,1
"269",59,24,0,1
"270",66,24,0,1
"271",41,24,0,1
"272",66,24,0,1
"273",65,24,0,1
"274",41,24,0,1
"275",49,24,0,1
"276",37,24,0,1
"277",40,23,0,1
"278",66,29,0,1
"279",66,29,0,1
"280",35,29,0,1
"281",66,29,0,1
"282",35,29,0,1
"283",50,29,0,1
"284",37,29,0,1
"285",63,28,0,1
"286",53,28,0,1
"287",66,28,0,1
"288",52,27,0,1
"289",61,28,0,1
"290",65,27,0,1
"291",66,27,0,1
"292",59,27,0,1
"293",66,27,0,1
"294",66,23,0,1
"295",47,23,0,1
"296",62,23,0,1
"297",53,23,0,1
"298",66,23,0,1
"299",37,23,0,1
"300",66,23,0,1
"301",61,22,0,1
"302",66,23,0,1
"303",45,22,0,1
"304",28,22,0,1
"305",65,22,1,0
"306",23,22,0,1
"307",51,27,0,1
"308",54,27,0,1
"309",40,27,0,1
"310",66,27,0,1
"311",40,27,0,1
"312",66,27,0,1
"313",63,26,0,1
"314",66,26,0,1
"315",66,26,0,1
"316",58,26,0,1
"317",53,26,0,1
"318",35,26,0,1
"319",46,26,0,1
"320",66,26,0,1
"321",41,26,0,1
"322",59,25,0,1
"323",66,25,0,1
"324",66,25,0,1
"325",66,25,0,1
"326",47,25,0,1
"327",66,25,0,1
"328",46,25,0,1
"329",30,18,0,1
"330",61,18,1,0
"331",28,18,0,1
"332",54,17,0,1
"333",60,17,1,0
"334",60,17,0,1
"335",52,17,0,1
"336",60,17,1,0
"337",26,17,0,1
"338",23,17,0,1
"339",55,22,0,1
"340",65,22,1,0
"341",52,22,0,1
"342",46,22,0,1
"343",39,22,0,1
"344",65,22,1,0
"345",41,22,0,1
"346",36,22,0,1
"347",61,21,0,1
"348",32,21,0,1
"349",64,21,0,1
"350",63,21,0,1
"351",64,21,1,0
"352",24,21,0,1
"353",64,21,1,0
"354",64,21,1,0
"355",64,21,1,0
"356",64,21,1,0
"357",48,21,0,1
"358",58,21,0,1
"359",64,21,0,1
"360",64,21,1,0
"361",48,13,0,1
"362",56,13,1,0
"363",56,13,1,0
"364",34,13,0,1
"365",48,13,0,1
"366",56,13,1,0
"367",50,13,0,1
"368",56,13,1,0
"369",22,13,0,1
"370",56,13,1,0
"371",27,12,0,1
"372",55,12,1,0
"373",62,20,0,1
"374",63,20,0,1
"375",33,20,0,1
"376",30,20,0,1
"377",22,20,0,1
"378",27,20,0,1
"379",57,20,0,1
"380",63,20,1,0
"381",43,20,0,1
"382",34,20,0,1
"383",63,20,1,0
"384",34,20,0,1
"385",49,19,0,1
"386",21,6,0,1
"387",49,6,0,1
"388",10,6,0,1
"389",19,6,0,1
"390",44,6,0,1
"391",8,6,0,1
"392",49,6,1,0
"393",47,6,0,1
"394",49,6,1,0
"395",14,6,0,1
"396",43,6,0,1
"397",46,6,0,1
"398",49,6,1,0
"399",49,6,1,0
"400",16,6,0,1
"401",20,6,0,1
"402",49,6,1,0
"403",35,6,0,1
"404",49,6,1,0
"405",49,6,1,0
"406",32,6,0,1
"407",23,6,0,1
"408",32,6,0,1
"409",12,6,0,1
"410",35,6,0,1
"411",40,6,0,1
"412",25,6,0,1
"413",25,6,0,1
"414",49,6,1,0
"415",48,6,0,1
"416",43,6,0,1
"417",49,6,1,0
"418",7,6,0,1
"419",26,7,0,1
"420",8,7,0,1
"421",41,7,0,1
"422",17,7,0,1
"423",18,7,0,1
"424",11,7,0,1
"425",50,7,1,0
"426",15,7,0,1
"427",9,7,0,1
"428",24,7,0,1
"429",50,7,1,0
"430",50,7,1,0
"431",35,7,0,1
"432",12,7,0,1
"433",50,7,1,0
"434",29,7,0,1
"435",20,7,0,1
"436",31,7,0,1
"437",25,7,0,1
"438",34,7,0,1
"439",47,7,0,1
"440",50,7,1,0
"441",11,7,0,1
"442",50,7,0,1
"443",41,7,0,1
"444",50,7,1,0
"445",34,7,0,1
"446",50,7,1,0
"447",50,7,1,0
"448",50,7,1,0
"449",50,7,1,0
"450",17,7,0,1
"451",29,7,0,1
"452",8,7,0,1
"453",50,7,1,0
"454",50,7,1,0
"455",44,7,0,1
"456",50,7,1,0
"457",60,19,0,1
"458",62,19,1,0
"459",37,19,0,1
"460",62,19,1,0
"461",30,19,0,1
"462",38,19,0,1
"463",31,19,0,1
"464",38,19,0,1
"465",62,19,1,0
"466",41,19,0,1
"467",58,19,0,1
"468",33,19,0,1
"469",62,19,1,0
"470",26,18,0,1
"471",30,18,0,1
"472",35,18,0,1
"473",41,18,0,1
"474",61,18,1,0
"475",61,18,1,0
"476",59,16,1,0
"477",39,16,0,1
"478",46,16,0,1
"479",23,16,0,1
"480",43,16,0,1
"481",59,16,1,0
"482",54,16,0,1
"483",59,16,1,0
"484",59,16,0,1
"485",55,16,0,1
"486",35,16,0,1
"487",38,16,0,1
"488",52,16,0,1
"489",24,16,0,1
"490",59,16,1,0
"491",59,16,1,0
"492",59,16,1,0
"493",53,16,0,1
