"","Zi","Yi","Ci","Di"
"1",27,24,0,1
"2",24,18,0,1
"3",27,23,0,1
"4",27,13,0,1
"5",27,20,0,1
"6",27,19,0,1
"7",21,6,0,1
"8",27,21,0,1
"9",23,13,0,1
"10",12,6,0,1
"11",27,6,0,1
"12",27,6,0,1
"13",27,16,0,1
"14",23,12,0,1
"15",27,11,0,1
"16",24,11,0,1
"17",27,12,0,1
"18",27,12,0,1
"19",13,10,0,1
"20",27,10,0,1
"21",20,10,0,1
"22",21,9,0,1
"23",27,9,0,1
"24",27,5,0,1
"25",27,8,0,1
"26",6,5,0,1
"27",27,5,0,1
"28",6,5,0,1
"29",27,24,0,1
"30",27,24,0,1
"31",27,24,0,1
"32",27,23,0,1
"33",27,23,0,1
"34",27,23,0,1
"35",27,23,0,1
"36",27,23,0,1
"37",27,25,0,1
"38",26,18,0,1
"39",27,17,0,1
"40",27,22,0,1
"41",24,22,0,1
"42",27,21,0,1
"43",27,21,0,1
"44",27,21,0,1
"45",16,13,0,1
"46",25,13,0,1
"47",14,13,0,1
"48",27,20,0,1
"49",27,20,0,1
"50",27,20,0,1
"51",27,19,0,1
"52",24,6,0,1
"53",22,6,0,1
"54",22,6,0,1
"55",8,6,0,1
"56",9,6,0,1
"57",25,6,0,1
"58",25,7,0,1
"59",16,7,0,1
"60",18,7,0,1
"61",16,7,0,1
"62",13,7,0,1
"63",18,7,0,1
"64",8,7,0,1
"65",18,7,0,1
"66",12,7,0,1
"67",27,7,0,1
"68",25,19,0,1
"69",27,18,0,1
"70",27,18,0,1
"71",27,18,0,1
"72",27,18,0,1
"73",26,16,0,1
"74",27,16,0,1
"75",27,16,0,1
"76",27,15,0,1
"77",27,14,0,1
"78",27,14,0,1
"79",27,13,0,1
"80",27,12,0,1
"81",27,12,0,1
"82",27,11,0,1
"83",21,11,0,1
"84",15,11,0,1
"85",25,11,0,1
"86",14,11,0,1
"87",27,11,0,1
"88",25,11,0,1
"89",27,10,0,1
"90",10,9,0,1
"91",14,9,0,1
"92",18,9,0,1
"93",27,10,0,1
"94",27,9,0,1
"95",15,8,0,1
"96",27,8,0,1
"97",19,8,0,1
"98",15,8,0,1
"99",27,8,0,1
"100",27,8,0,1
"101",10,8,0,1
"102",18,8,0,1
"103",10,8,0,1
"104",27,8,0,1
"105",19,8,0,1
"106",13,8,0,1
"107",27,8,0,1
"108",17,8,0,1
"109",23,8,0,1
"110",27,8,0,1
"111",27,6,0,1
"112",10,6,0,1
"113",7,5,0,1
"114",18,5,0,1
"115",27,5,0,1
