"","Zi","Yi","Ci","Di"
"1",68,62,0,1
"2",68,52,0,1
"3",60,49,0,1
"4",58,49,0,1
"5",68,63,0,1
"6",68,62,0,1
"7",67,62,0,1
"8",64,61,0,1
"9",68,59,0,1
"10",68,59,0,1
"11",68,59,0,1
"12",63,51,0,1
"13",50,49,0,1
"14",68,60,0,1
"15",68,55,0,1
"16",64,54,0,1
"17",68,43,0,1
"18",68,43,0,1
"19",44,41,0,1
"20",65,39,0,1
"21",68,39,0,1
"22",54,30,0,1
"23",52,30,0,1
"24",68,58,0,1
"25",50,43,0,1
"26",68,30,0,1
"27",53,30,0,1
"28",50,30,0,1
"29",63,36,0,1
"30",46,23,0,1
"31",42,29,0,1
"32",61,28,0,1
"33",58,23,0,1
"34",55,37,0,1
"35",57,35,0,1
"36",52,24,0,1
"37",30,23,0,1
"38",66,23,0,1
"39",50,23,0,1
"40",68,28,0,1
"41",62,22,0,1
"42",52,22,0,1
"43",68,26,0,1
"44",45,26,0,1
"45",68,25,0,1
"46",60,17,1,0
"47",33,17,0,1
"48",38,22,0,1
"49",49,21,0,1
"50",24,21,0,1
"51",51,23,0,1
"52",66,23,1,0
"53",57,22,0,1
"54",57,25,0,1
"55",60,25,0,1
"56",59,25,0,1
"57",36,17,0,1
"58",32,18,0,1
"59",49,21,0,1
"60",62,21,0,1
"61",37,21,0,1
"62",45,12,0,1
"63",55,12,1,0
"64",34,20,0,1
"65",63,20,0,1
"66",55,20,0,1
"67",23,21,0,1
"68",52,13,0,1
"69",36,12,0,1
"70",16,12,0,1
"71",48,20,0,1
"72",63,20,0,1
"73",53,19,0,1
"74",21,6,0,1
"75",41,6,0,1
"76",17,6,0,1
"77",49,6,0,1
"78",50,7,1,0
"79",21,7,0,1
"80",55,19,0,1
"81",57,18,0,1
"82",50,7,1,0
"83",50,7,0,1
"84",17,7,0,1
"85",29,18,0,1
"86",26,16,0,1
"87",50,16,0,1
"88",58,15,1,0
"89",58,15,1,0
"90",49,15,0,1
"91",24,14,0,1
"92",57,14,1,0
"93",61,18,1,0
"94",41,16,0,1
"95",59,16,1,0
"96",39,16,0,1
"97",32,16,0,1
"98",44,15,0,1
"99",55,15,0,1
"100",58,15,1,0
"101",50,15,0,1
"102",57,14,1,0
"103",21,11,0,1
"104",54,11,1,0
"105",55,12,1,0
"106",18,13,0,1
"107",30,14,0,1
"108",57,14,1,0
"109",56,13,1,0
"110",56,13,1,0
"111",14,11,0,1
"112",53,10,1,0
"113",11,10,0,1
"114",25,10,0,1
"115",53,10,1,0
"116",50,9,0,1
"117",41,9,0,1
"118",52,9,1,0
"119",34,9,0,1
"120",42,9,0,1
"121",43,8,0,1
"122",52,10,0,1
"123",11,10,0,1
"124",53,10,1,0
"125",53,10,1,0
"126",25,9,0,1
"127",52,9,1,0
"128",48,9,0,1
"129",25,9,0,1
"130",52,9,1,0
"131",30,8,0,1
"132",44,8,0,1
"133",16,8,0,1
"134",51,8,1,0
"135",11,7,0,1
"136",36,8,0,1
"137",41,5,0,1
"138",31,5,0,1
"139",34,5,0,1
"140",35,4,0,1
"141",16,5,0,1
"142",50,7,1,0
"143",34,8,0,1
"144",11,5,0,1
"145",48,5,0,1
"146",31,5,0,1
"147",68,59,0,1
"148",68,59,0,1
"149",68,56,0,1
"150",55,54,0,1
"151",68,54,0,1
"152",68,57,0,1
"153",68,60,0,1
"154",68,62,0,1
"155",67,58,0,1
"156",60,57,0,1
"157",68,57,0,1
"158",68,55,0,1
"159",62,52,0,1
"160",68,57,0,1
"161",57,51,0,1
"162",68,51,0,1
"163",68,51,0,1
"164",60,50,0,1
"165",68,50,0,1
"166",59,50,0,1
"167",68,48,0,1
"168",68,48,0,1
"169",68,48,0,1
"170",63,48,0,1
"171",65,48,0,1
"172",68,48,0,1
"173",58,47,0,1
"174",68,47,0,1
"175",58,47,0,1
"176",62,47,0,1
"177",68,46,0,1
"178",66,45,0,1
"179",64,45,0,1
"180",54,45,0,1
"181",59,45,0,1
"182",68,45,0,1
"183",63,60,0,1
"184",68,64,0,1
"185",68,62,0,1
"186",68,60,0,1
"187",68,60,0,1
"188",66,63,0,1
"189",68,61,0,1
"190",68,60,0,1
"191",68,60,0,1
"192",61,59,0,1
"193",63,57,0,1
"194",68,56,0,1
"195",64,56,0,1
"196",64,54,0,1
"197",58,53,0,1
"198",68,58,0,1
"199",68,57,0,1
"200",64,58,0,1
"201",63,57,0,1
"202",68,57,0,1
"203",62,44,0,1
"204",66,44,0,1
"205",68,44,0,1
"206",68,43,0,1
"207",68,43,0,1
"208",64,42,0,1
"209",68,42,0,1
"210",68,42,0,1
"211",52,40,0,1
"212",65,40,0,1
"213",63,40,0,1
"214",68,40,0,1
"215",52,40,0,1
"216",68,40,0,1
"217",67,40,0,1
"218",68,39,0,1
"219",58,38,0,1
"220",53,33,0,1
"221",54,33,0,1
"222",67,32,0,1
"223",68,32,0,1
"224",68,32,0,1
"225",35,32,0,1
"226",68,32,0,1
"227",68,32,0,1
"228",36,31,0,1
"229",43,31,0,1
"230",68,30,0,1
"231",59,30,0,1
"232",43,30,0,1
"233",58,30,0,1
"234",53,30,0,1
"235",33,29,0,1
"236",30,29,0,1
"237",68,36,0,1
"238",68,37,0,1
"239",68,36,0,1
"240",68,36,0,1
"241",45,35,0,1
"242",68,35,0,1
"243",68,35,0,1
"244",50,35,0,1
"245",55,34,0,1
"246",40,34,0,1
"247",36,34,0,1
"248",68,33,0,1
"249",62,33,0,1
"250",67,24,0,1
"251",61,24,0,1
"252",42,24,0,1
"253",38,24,0,1
"254",67,24,0,1
"255",43,24,0,1
"256",67,24,0,1
"257",67,24,0,1
"258",67,24,1,0
"259",67,24,1,0
"260",61,23,0,1
"261",54,23,0,1
"262",41,23,0,1
"263",51,23,0,1
"264",66,23,1,0
"265",68,29,0,1
"266",48,29,0,1
"267",39,29,0,1
"268",68,29,0,1
"269",35,29,0,1
"270",65,28,0,1
"271",68,28,0,1
"272",56,28,0,1
"273",68,28,0,1
"274",45,28,0,1
"275",60,28,0,1
"276",41,28,0,1
"277",45,27,0,1
"278",68,28,0,1
"279",46,27,0,1
"280",35,27,0,1
"281",68,27,0,1
"282",54,27,0,1
"283",68,27,0,1
"284",65,22,1,0
"285",24,22,0,1
"286",54,22,0,1
"287",46,22,0,1
"288",65,22,1,0
"289",45,22,0,1
"290",65,22,1,0
"291",40,22,0,1
"292",30,22,0,1
"293",36,26,0,1
"294",35,26,0,1
"295",61,26,0,1
"296",68,26,0,1
"297",56,26,0,1
"298",60,26,0,1
"299",68,26,0,1
"300",40,26,0,1
"301",37,25,0,1
"302",68,25,0,1
"303",33,25,0,1
"304",40,25,0,1
"305",60,17,0,1
"306",22,17,0,1
"307",33,17,0,1
"308",60,17,1,0
"309",60,17,0,1
"310",29,17,0,1
"311",57,17,0,1
"312",23,17,0,1
"313",60,17,0,1
"314",60,17,1,0
"315",34,17,0,1
"316",59,17,0,1
"317",36,17,0,1
"318",53,17,0,1
"319",61,22,0,1
"320",24,21,0,1
"321",42,21,0,1
"322",40,21,0,1
"323",59,21,0,1
"324",40,21,0,1
"325",38,21,0,1
"326",64,21,1,0
"327",57,21,0,1
"328",26,13,0,1
"329",56,13,1,0
"330",55,12,1,0
"331",36,13,0,1
"332",13,12,0,1
"333",15,12,0,1
"334",50,12,0,1
"335",44,12,0,1
"336",55,13,0,1
"337",31,12,0,1
"338",55,12,1,0
"339",55,12,1,0
"340",28,13,0,1
"341",38,12,0,1
"342",23,12,0,1
"343",55,12,1,0
"344",55,12,0,1
"345",51,12,0,1
"346",28,12,0,1
"347",25,12,0,1
"348",48,12,0,1
"349",51,20,0,1
"350",37,20,0,1
"351",34,20,0,1
"352",63,20,1,0
"353",63,20,1,0
"354",30,20,0,1
"355",30,20,0,1
"356",63,20,1,0
"357",54,19,0,1
"358",62,19,1,0
"359",26,19,0,1
"360",55,19,0,1
"361",33,19,0,1
"362",50,19,0,1
"363",58,19,0,1
"364",62,19,0,1
"365",43,19,0,1
"366",55,19,0,1
"367",42,19,0,1
"368",58,19,0,1
"369",49,6,1,0
"370",49,6,1,0
"371",26,6,0,1
"372",32,6,0,1
"373",41,6,0,1
"374",10,6,0,1
"375",12,6,0,1
"376",22,6,0,1
"377",49,6,1,0
"378",49,6,1,0
"379",49,6,1,0
"380",49,6,1,0
"381",41,6,0,1
"382",50,7,1,0
"383",17,6,0,1
"384",41,6,0,1
"385",18,6,0,1
"386",15,6,0,1
"387",42,6,0,1
"388",50,7,1,0
"389",35,6,0,1
"390",42,6,0,1
"391",49,6,1,0
"392",43,6,0,1
"393",49,6,1,0
"394",49,6,1,0
"395",34,6,0,1
"396",37,7,0,1
"397",49,6,1,0
"398",11,6,0,1
"399",32,7,0,1
"400",35,7,0,1
"401",50,7,1,0
"402",24,7,0,1
"403",32,7,0,1
"404",43,7,0,1
"405",16,7,0,1
"406",50,7,1,0
"407",43,7,0,1
"408",31,7,0,1
"409",28,7,0,1
"410",12,7,0,1
"411",23,7,0,1
"412",50,7,1,0
"413",50,7,1,0
"414",27,7,0,1
"415",50,7,0,1
"416",50,7,1,0
"417",42,7,0,1
"418",50,7,1,0
"419",50,7,1,0
"420",23,7,0,1
"421",50,7,1,0
"422",18,7,0,1
"423",45,7,0,1
"424",17,7,0,1
"425",50,7,1,0
"426",15,7,0,1
"427",30,7,0,1
"428",29,7,0,1
"429",50,7,1,0
"430",35,7,0,1
"431",38,7,0,1
"432",43,7,0,1
"433",60,19,0,1
"434",62,19,1,0
"435",54,18,0,1
"436",57,19,0,1
"437",61,18,1,0
"438",47,18,0,1
"439",38,18,0,1
"440",61,18,1,0
"441",61,18,1,0
"442",37,18,0,1
"443",26,16,0,1
"444",18,16,0,1
"445",37,16,0,1
"446",59,16,1,0
"447",59,16,1,0
"448",51,16,0,1
"449",24,16,0,1
"450",59,16,1,0
"451",59,16,0,1
"452",23,16,0,1
"453",22,16,0,1
"454",59,16,1,0
"455",59,16,1,0
"456",59,16,1,0
"457",27,16,0,1
"458",59,16,1,0
"459",46,16,0,1
"460",47,15,0,1
"461",59,16,1,0
"462",57,15,0,1
"463",49,15,0,1
"464",58,15,1,0
"465",21,15,0,1
"466",55,15,0,1
"467",17,15,0,1
"468",23,15,0,1
"469",58,15,1,0
"470",58,15,1,0
"471",28,15,0,1
"472",58,15,1,0
"473",23,15,0,1
"474",28,15,0,1
"475",31,15,0,1
"476",58,15,1,0
"477",58,15,1,0
"478",25,15,0,1
"479",58,15,1,0
"480",44,15,0,1
"481",49,15,0,1
"482",18,15,0,1
"483",43,15,0,1
"484",57,14,1,0
"485",38,14,0,1
"486",42,14,0,1
"487",57,14,1,0
"488",19,14,0,1
"489",21,14,0,1
"490",57,14,1,0
"491",57,14,1,0
"492",57,14,1,0
"493",39,14,0,1
"494",43,14,0,1
"495",57,14,1,0
"496",39,14,0,1
"497",32,14,0,1
"498",55,14,0,1
"499",56,13,1,0
"500",57,14,1,0
"501",57,14,1,0
"502",46,13,0,1
"503",26,13,0,1
"504",51,13,0,1
"505",56,13,1,0
"506",17,13,0,1
"507",56,13,1,0
"508",25,13,0,1
"509",27,13,0,1
"510",46,13,0,1
"511",56,13,1,0
"512",56,13,1,0
"513",42,13,0,1
"514",16,13,0,1
"515",43,13,0,1
"516",56,13,1,0
"517",56,13,1,0
"518",56,13,1,0
"519",56,13,1,0
"520",48,13,0,1
"521",25,13,0,1
"522",56,13,1,0
"523",56,13,1,0
"524",55,12,1,0
"525",55,12,1,0
"526",38,12,0,1
"527",54,11,1,0
"528",54,11,0,1
"529",54,11,1,0
"530",54,11,1,0
"531",54,11,1,0
"532",12,11,0,1
"533",54,11,1,0
"534",54,11,1,0
"535",54,11,1,0
"536",54,11,1,0
"537",41,11,0,1
"538",54,11,1,0
"539",53,11,0,1
"540",54,11,1,0
"541",54,11,1,0
"542",54,11,1,0
"543",44,11,0,1
"544",16,11,0,1
"545",31,11,0,1
"546",28,11,0,1
"547",40,10,0,1
"548",54,11,1,0
"549",44,10,0,1
"550",54,11,1,0
"551",53,10,1,0
"552",39,10,0,1
"553",46,10,0,1
"554",53,10,1,0
"555",31,10,0,1
"556",53,10,1,0
"557",53,10,0,1
"558",26,10,0,1
"559",53,10,1,0
"560",33,10,0,1
"561",53,10,1,0
"562",53,10,1,0
"563",53,10,0,1
"564",45,10,0,1
"565",53,10,1,0
"566",26,10,0,1
"567",53,10,1,0
"568",53,10,1,0
"569",53,10,1,0
"570",53,10,1,0
"571",53,10,1,0
"572",53,10,1,0
"573",33,9,0,1
"574",51,9,0,1
"575",18,9,0,1
"576",22,9,0,1
"577",15,9,0,1
"578",45,9,0,1
"579",25,9,0,1
"580",49,9,0,1
"581",49,9,0,1
"582",52,9,1,0
"583",45,9,0,1
"584",43,9,0,1
"585",52,9,1,0
"586",52,9,1,0
"587",41,9,0,1
"588",25,9,0,1
"589",20,9,0,1
"590",51,8,1,0
"591",49,8,0,1
"592",43,8,0,1
"593",9,8,0,1
"594",30,8,0,1
"595",32,8,0,1
"596",51,8,1,0
"597",51,8,1,0
"598",50,7,1,0
"599",43,7,0,1
"600",51,8,1,0
"601",51,8,1,0
"602",51,8,1,0
"603",51,8,1,0
"604",35,5,0,1
"605",25,5,0,1
"606",17,5,0,1
"607",12,5,0,1
"608",29,5,0,1
"609",48,5,1,0
"610",48,5,1,0
"611",48,5,1,0
"612",29,5,0,1
"613",48,5,1,0
"614",48,5,1,0
"615",48,5,0,1
"616",40,5,0,1
"617",11,5,0,1
"618",48,5,1,0
"619",48,5,1,0
"620",28,5,0,1
"621",16,5,0,1
"622",48,5,0,1
"623",48,5,1,0
"624",12,5,0,1
"625",41,5,0,1
"626",48,5,1,0
"627",44,5,0,1
"628",47,4,1,0
