"","Zi","Yi","Ci","Di"
"1",65,63,0,1
"2",65,56,0,1
"3",65,56,0,1
"4",59,54,0,1
"5",65,49,0,1
"6",65,49,0,1
"7",65,47,0,1
"8",65,57,0,1
"9",64,57,0,1
"10",65,59,0,1
"11",65,46,0,1
"12",65,46,0,1
"13",62,46,0,1
"14",65,61,0,1
"15",52,43,0,1
"16",65,41,0,1
"17",51,41,0,1
"18",49,39,0,1
"19",42,33,0,1
"20",48,31,0,1
"21",65,31,0,1
"22",65,40,0,1
"23",58,40,0,1
"24",65,41,0,1
"25",51,40,0,1
"26",65,41,0,1
"27",65,31,0,1
"28",55,30,0,1
"29",65,30,0,1
"30",65,37,0,1
"31",65,34,0,1
"32",63,34,0,1
"33",58,34,0,1
"34",65,34,0,1
"35",50,24,0,1
"36",35,29,0,1
"37",29,28,0,1
"38",65,27,0,1
"39",55,23,0,1
"40",65,34,0,1
"41",35,34,0,1
"42",47,34,0,1
"43",33,24,0,1
"44",63,24,0,1
"45",64,24,0,1
"46",32,23,0,1
"47",62,23,0,1
"48",31,23,0,1
"49",65,23,0,1
"50",37,28,0,1
"51",57,23,0,1
"52",65,22,0,1
"53",51,22,0,1
"54",58,26,0,1
"55",58,26,0,1
"56",46,17,0,1
"57",60,17,1,0
"58",64,21,1,0
"59",64,21,1,0
"60",24,23,0,1
"61",54,22,0,1
"62",65,22,0,1
"63",62,26,0,1
"64",47,26,0,1
"65",45,25,0,1
"66",60,17,1,0
"67",55,17,0,1
"68",62,21,0,1
"69",63,21,0,1
"70",58,21,0,1
"71",56,21,0,1
"72",50,13,0,1
"73",35,12,0,1
"74",22,12,0,1
"75",34,12,0,1
"76",23,12,0,1
"77",63,20,1,0
"78",23,19,0,1
"79",61,21,0,1
"80",64,21,0,1
"81",42,21,0,1
"82",18,12,0,1
"83",27,12,0,1
"84",55,12,1,0
"85",26,20,0,1
"86",62,20,0,1
"87",62,19,1,0
"88",55,19,0,1
"89",49,6,1,0
"90",41,7,0,1
"91",37,7,0,1
"92",50,7,0,1
"93",50,7,1,0
"94",61,18,1,0
"95",22,18,0,1
"96",9,7,0,1
"97",14,7,0,1
"98",50,7,1,0
"99",26,19,0,1
"100",28,18,0,1
"101",38,18,0,1
"102",30,18,0,1
"103",28,18,0,1
"104",45,18,0,1
"105",45,18,0,1
"106",61,18,1,0
"107",59,16,1,0
"108",37,16,0,1
"109",58,15,1,0
"110",27,14,0,1
"111",24,14,0,1
"112",29,14,0,1
"113",28,14,0,1
"114",57,14,1,0
"115",57,14,1,0
"116",22,14,0,1
"117",51,14,0,1
"118",16,14,0,1
"119",27,18,0,1
"120",59,16,1,0
"121",31,16,0,1
"122",48,16,0,1
"123",50,16,0,1
"124",43,15,0,1
"125",24,15,0,1
"126",58,15,1,0
"127",57,14,1,0
"128",42,14,0,1
"129",54,13,0,1
"130",44,13,0,1
"131",27,13,0,1
"132",55,12,1,0
"133",40,12,0,1
"134",27,12,0,1
"135",54,11,0,1
"136",46,11,0,1
"137",27,12,0,1
"138",54,11,1,0
"139",54,11,1,0
"140",34,11,0,1
"141",54,11,0,1
"142",50,11,0,1
"143",18,11,0,1
"144",54,11,1,0
"145",50,14,0,1
"146",56,13,1,0
"147",50,13,0,1
"148",47,11,0,1
"149",51,11,0,1
"150",54,11,1,0
"151",29,11,0,1
"152",49,11,0,1
"153",53,10,1,0
"154",47,10,0,1
"155",47,10,0,1
"156",15,10,0,1
"157",17,10,0,1
"158",52,9,1,0
"159",37,9,0,1
"160",23,9,0,1
"161",52,9,1,0
"162",52,9,0,1
"163",47,9,0,1
"164",38,8,0,1
"165",51,8,1,0
"166",49,8,0,1
"167",19,8,0,1
"168",50,7,1,0
"169",53,10,1,0
"170",41,10,0,1
"171",52,9,1,0
"172",53,10,1,0
"173",45,9,0,1
"174",33,9,0,1
"175",44,9,0,1
"176",51,8,1,0
"177",51,8,1,0
"178",33,8,0,1
"179",29,7,0,1
"180",51,8,1,0
"181",48,5,1,0
"182",38,5,0,1
"183",12,7,0,1
"184",48,5,1,0
"185",40,5,0,1
"186",48,5,1,0
"187",48,5,1,0
"188",48,5,1,0
"189",48,5,1,0
"190",65,55,0,1
"191",65,56,0,1
"192",65,55,0,1
"193",65,61,0,1
"194",65,57,0,1
"195",65,53,0,1
"196",65,53,0,1
"197",63,52,0,1
"198",65,52,0,1
"199",54,52,0,1
"200",65,51,0,1
"201",65,51,0,1
"202",65,51,0,1
"203",65,50,0,1
"204",62,50,0,1
"205",56,50,0,1
"206",56,50,0,1
"207",62,49,0,1
"208",59,49,0,1
"209",65,49,0,1
"210",65,48,0,1
"211",54,48,0,1
"212",63,48,0,1
"213",65,47,0,1
"214",65,47,0,1
"215",52,46,0,1
"216",65,60,0,1
"217",62,57,0,1
"218",65,55,0,1
"219",63,53,0,1
"220",54,53,0,1
"221",65,58,0,1
"222",65,52,0,1
"223",65,58,0,1
"224",58,56,0,1
"225",65,57,0,1
"226",65,57,0,1
"227",65,57,0,1
"228",65,45,0,1
"229",53,45,0,1
"230",65,44,0,1
"231",60,44,0,1
"232",63,43,0,1
"233",55,42,0,1
"234",65,42,0,1
"235",52,42,0,1
"236",56,41,0,1
"237",60,41,0,1
"238",43,41,0,1
"239",60,40,0,1
"240",65,40,0,1
"241",65,40,0,1
"242",65,40,0,1
"243",56,40,0,1
"244",65,40,0,1
"245",47,39,0,1
"246",65,39,0,1
"247",65,39,0,1
"248",65,39,0,1
"249",55,38,0,1
"250",63,38,0,1
"251",65,38,0,1
"252",44,39,0,1
"253",65,38,0,1
"254",62,33,0,1
"255",55,33,0,1
"256",36,33,0,1
"257",65,33,0,1
"258",65,32,0,1
"259",65,32,0,1
"260",51,32,0,1
"261",39,31,0,1
"262",65,31,0,1
"263",37,31,0,1
"264",34,31,0,1
"265",56,30,0,1
"266",61,30,0,1
"267",41,30,0,1
"268",65,38,0,1
"269",64,37,0,1
"270",64,37,0,1
"271",65,37,0,1
"272",39,37,0,1
"273",45,37,0,1
"274",58,37,0,1
"275",64,37,0,1
"276",65,36,0,1
"277",48,36,0,1
"278",65,36,0,1
"279",65,36,0,1
"280",51,36,0,1
"281",40,36,0,1
"282",53,36,0,1
"283",65,36,0,1
"284",60,36,0,1
"285",58,36,0,1
"286",65,35,0,1
"287",65,35,0,1
"288",65,35,0,1
"289",49,35,0,1
"290",38,35,0,1
"291",65,34,0,1
"292",45,33,0,1
"293",65,33,0,1
"294",65,25,0,1
"295",54,25,0,1
"296",65,24,0,1
"297",54,24,0,1
"298",47,24,0,1
"299",30,24,0,1
"300",60,24,0,1
"301",52,24,0,1
"302",64,24,0,1
"303",27,24,0,1
"304",57,24,0,1
"305",65,24,0,1
"306",47,24,0,1
"307",60,24,0,1
"308",34,24,0,1
"309",36,23,0,1
"310",55,23,0,1
"311",24,23,0,1
"312",63,23,0,1
"313",36,29,0,1
"314",65,29,0,1
"315",30,29,0,1
"316",49,29,0,1
"317",29,28,0,1
"318",65,28,0,1
"319",34,28,0,1
"320",55,28,0,1
"321",65,28,0,1
"322",57,28,0,1
"323",35,28,0,1
"324",31,28,0,1
"325",64,28,0,1
"326",44,28,0,1
"327",53,28,0,1
"328",39,27,0,1
"329",41,28,0,1
"330",49,27,0,1
"331",56,27,0,1
"332",65,27,0,1
"333",40,23,0,1
"334",65,23,0,1
"335",35,23,0,1
"336",65,23,0,1
"337",59,23,0,1
"338",62,23,0,1
"339",62,23,0,1
"340",50,23,0,1
"341",64,23,0,1
"342",52,23,0,1
"343",62,22,0,1
"344",65,23,0,1
"345",49,22,0,1
"346",65,22,1,1
"347",65,22,0,1
"348",65,22,0,1
"349",60,22,0,1
"350",33,22,0,1
"351",43,22,0,1
"352",47,22,0,1
"353",44,22,0,1
"354",61,22,0,1
"355",33,22,0,1
"356",25,22,0,1
"357",57,22,0,1
"358",65,27,0,1
"359",34,27,0,1
"360",57,27,0,1
"361",27,26,0,1
"362",63,26,0,1
"363",42,26,0,1
"364",38,26,0,1
"365",64,26,0,1
"366",51,26,0,1
"367",52,26,0,1
"368",65,26,0,1
"369",65,26,0,1
"370",33,26,0,1
"371",58,26,0,1
"372",63,25,0,1
"373",65,25,0,1
"374",65,25,0,1
"375",46,25,0,1
"376",65,25,0,1
"377",58,25,0,1
"378",61,25,0,1
"379",48,25,0,1
"380",65,25,0,1
"381",61,25,0,1
"382",58,25,0,1
"383",60,17,1,0
