"","Zi","Yi","Ci","Di"
"1",51,47,0,1
"2",51,47,0,1
"3",51,47,0,1
"4",51,47,0,1
"5",51,44,0,1
"6",47,44,0,1
"7",51,44,0,1
"8",45,41,0,1
"9",51,41,0,1
"10",51,41,0,1
"11",51,41,0,1
"12",51,41,0,1
"13",51,41,0,1
"14",46,41,0,1
"15",51,41,0,1
"16",51,33,0,1
"17",50,33,0,1
"18",46,33,0,1
"19",37,33,0,1
"20",46,33,0,1
"21",51,33,0,1
"22",50,33,0,1
"23",36,32,0,1
"24",42,32,0,1
"25",38,32,0,1
"26",50,32,0,1
"27",40,37,0,1
"28",43,37,0,1
"29",51,37,0,1
"30",51,43,0,1
"31",50,43,0,1
"32",45,43,0,1
"33",51,43,0,1
"34",51,43,0,1
"35",47,43,0,1
"36",51,41,0,1
"37",51,41,0,1
"38",51,41,0,1
"39",51,41,0,1
"40",51,39,0,1
"41",48,39,0,1
"42",43,39,0,1
"43",51,39,0,1
"44",51,39,0,1
"45",51,39,0,1
"46",51,39,0,1
"47",51,33,0,1
"48",51,33,0,1
"49",42,33,0,1
"50",51,33,0,1
"51",50,33,0,1
"52",51,33,0,1
"53",51,33,0,1
"54",51,33,0,1
"55",51,31,0,1
"56",50,30,0,1
"57",41,37,0,1
"58",48,37,0,1
"59",51,37,0,1
"60",51,36,0,1
"61",51,36,0,1
"62",51,36,0,1
"63",45,36,0,1
"64",49,36,0,1
"65",49,36,0,1
"66",50,36,0,1
"67",51,36,0,1
"68",45,36,0,1
"69",51,36,0,1
"70",51,25,0,1
"71",51,25,0,1
"72",39,25,0,1
"73",48,25,0,1
"74",51,25,0,1
"75",30,25,0,1
"76",51,24,0,1
"77",51,24,0,1
"78",51,24,0,1
"79",51,24,0,1
"80",40,24,0,1
"81",39,24,0,1
"82",30,24,0,1
"83",51,29,0,1
"84",51,29,0,1
"85",34,29,0,1
"86",51,28,0,1
"87",29,28,0,1
"88",42,28,0,1
"89",45,27,0,1
"90",43,36,0,1
"91",51,36,0,1
"92",45,36,0,1
"93",42,36,0,1
"94",51,36,0,1
"95",26,25,0,1
"96",35,25,0,1
"97",51,25,0,1
"98",47,25,0,1
"99",28,25,0,1
"100",51,24,0,1
"101",43,24,0,1
"102",48,24,0,1
"103",35,24,0,1
"104",51,29,0,1
"105",51,29,0,1
"106",51,28,0,1
"107",51,28,0,1
"108",32,28,0,1
"109",51,28,0,1
"110",46,28,0,1
"111",38,28,0,1
"112",50,23,0,1
"113",51,22,0,1
"114",51,22,0,1
"115",40,22,0,1
"116",51,22,0,1
"117",39,26,0,1
"118",51,26,0,1
"119",50,18,0,1
"120",51,18,0,1
"121",51,17,0,1
"122",34,19,0,1
"123",51,17,0,1
"124",34,17,0,1
"125",49,17,0,1
"126",51,17,0,1
"127",51,17,0,1
"128",21,17,0,1
"129",38,17,0,1
"130",51,17,0,1
"131",51,22,0,1
"132",28,23,0,1
"133",50,23,0,1
"134",51,23,0,1
"135",40,23,0,1
"136",51,22,0,1
"137",50,22,0,1
"138",51,22,0,1
"139",30,22,0,1
"140",51,26,0,1
"141",51,26,0,1
"142",51,26,0,1
"143",51,18,0,1
"144",51,18,0,1
"145",51,18,0,1
"146",26,18,0,1
"147",27,18,0,1
"148",25,18,0,1
"149",51,18,0,1
"150",51,17,0,1
"151",35,17,0,1
"152",51,17,0,1
"153",40,17,0,1
"154",48,17,0,1
"155",28,17,0,1
"156",21,17,0,1
"157",51,22,0,1
"158",51,21,0,1
"159",51,21,0,1
"160",51,21,0,1
"161",45,21,0,1
"162",33,21,0,1
"163",19,13,0,1
"164",18,13,0,1
"165",50,13,0,1
"166",15,13,0,1
"167",39,13,0,1
"168",38,13,0,1
"169",47,13,0,1
"170",51,20,0,1
"171",38,20,0,1
"172",51,20,0,1
"173",51,19,0,1
"174",29,19,0,1
"175",21,19,0,1
"176",36,6,0,1
"177",49,6,0,1
"178",49,6,1,0
"179",22,6,0,1
"180",50,21,0,1
"181",51,21,0,1
"182",30,21,0,1
"183",17,13,0,1
"184",39,13,0,1
"185",51,13,0,1
"186",19,13,0,1
"187",13,12,0,1
"188",36,20,0,1
"189",51,20,0,1
"190",32,20,0,1
"191",41,20,0,1
"192",51,20,0,1
"193",24,19,0,1
"194",49,19,0,1
"195",27,19,0,1
"196",33,6,0,1
"197",42,6,0,1
"198",8,6,0,1
"199",37,6,0,1
"200",25,6,0,1
"201",24,6,0,1
"202",37,6,0,1
