"","Zi","Yi","Ci","Di"
"1",44,31,0,1
"2",44,13,0,1
"3",38,13,0,1
"4",15,12,0,1
"5",16,12,0,1
"6",44,19,0,1
"7",39,7,0,1
"8",12,6,0,1
"9",20,7,0,1
"10",25,18,0,1
"11",44,14,0,1
"12",32,15,0,1
"13",23,14,0,1
"14",33,13,0,1
"15",27,11,0,1
"16",21,11,0,1
"17",30,13,0,1
"18",44,13,0,1
"19",27,11,0,1
"20",44,10,0,1
"21",44,8,0,1
"22",8,7,0,1
"23",25,5,0,1
"24",26,5,0,1
"25",39,33,0,1
"26",44,32,0,1
"27",44,30,0,1
"28",42,37,0,1
"29",38,24,0,1
"30",44,24,0,1
"31",44,28,0,1
"32",44,28,0,1
"33",35,27,0,1
"34",44,27,0,1
"35",44,27,0,1
"36",27,22,0,1
"37",35,27,0,1
"38",42,17,0,1
"39",44,17,0,1
"40",42,21,0,1
"41",23,12,0,1
"42",33,12,0,1
"43",44,6,0,1
"44",27,6,0,1
"45",35,6,0,1
"46",44,6,0,1
"47",33,6,0,1
"48",43,6,0,1
"49",44,6,0,1
"50",27,6,0,1
"51",44,6,0,1
"52",17,6,0,1
"53",21,6,0,1
"54",43,7,0,1
"55",11,7,0,1
"56",44,7,0,1
"57",24,7,0,1
"58",19,7,0,1
"59",44,18,0,1
"60",19,18,0,1
"61",36,15,0,1
"62",38,15,0,1
"63",35,15,0,1
"64",21,15,0,1
"65",31,15,0,1
"66",35,14,0,1
"67",28,14,0,1
"68",19,14,0,1
"69",40,14,0,1
"70",32,14,0,1
"71",44,14,0,1
"72",14,13,0,1
"73",44,13,0,1
"74",24,13,0,1
"75",44,13,0,1
"76",33,13,0,1
"77",31,14,0,1
"78",31,13,0,1
"79",28,13,0,1
"80",37,12,0,1
"81",44,12,0,1
"82",18,12,0,1
"83",44,11,0,1
"84",20,11,0,1
"85",29,11,0,1
"86",20,11,0,1
"87",44,11,0,1
"88",30,11,0,1
"89",44,11,0,1
"90",44,11,0,1
"91",38,11,0,1
"92",42,10,0,1
"93",28,10,0,1
"94",24,10,0,1
"95",34,10,0,1
"96",26,10,0,1
"97",44,10,0,1
"98",44,9,0,1
"99",41,9,0,1
"100",37,9,0,1
"101",44,9,0,1
"102",31,9,0,1
"103",44,9,0,1
"104",44,8,0,1
"105",12,8,0,1
"106",37,8,0,1
"107",31,8,0,1
"108",13,8,0,1
"109",41,8,0,1
"110",36,8,0,1
"111",21,8,0,1
"112",43,5,0,1
"113",22,5,0,1
"114",36,5,0,1
"115",10,5,0,1
"116",43,5,0,1
"117",14,5,0,1
"118",44,5,0,1
"119",29,5,0,1
"120",43,5,0,1
"121",21,5,0,1
"122",23,5,0,1
"123",24,4,0,1
"124",44,4,1,1
