"","Zi","Yi","Ci","Di"
"1",50,47,0,1
"2",50,47,0,1
"3",50,46,0,1
"4",50,46,0,1
"5",48,46,0,1
"6",50,46,0,1
"7",49,47,0,1
"8",50,47,0,1
"9",50,43,0,1
"10",50,43,0,1
"11",50,43,0,1
"12",50,43,0,1
"13",50,43,0,1
"14",50,43,0,1
"15",50,43,0,1
"16",50,43,0,1
"17",50,43,0,1
"18",44,43,0,1
"19",50,42,0,1
"20",41,39,0,1
"21",46,39,0,1
"22",50,39,0,1
"23",50,39,0,1
"24",50,39,0,1
"25",45,39,0,1
"26",48,39,0,1
"27",50,39,0,1
"28",50,39,0,1
"29",40,39,0,1
"30",50,39,0,1
"31",50,33,0,1
"32",50,33,0,1
"33",50,33,0,1
"34",35,33,0,1
"35",50,33,0,1
"36",50,32,0,1
"37",48,31,0,1
"38",50,31,0,1
"39",50,31,0,1
"40",50,30,0,1
"41",44,37,0,1
"42",50,37,0,1
"43",50,37,0,1
"44",49,37,0,1
"45",42,37,0,1
"46",50,43,0,1
"47",50,43,0,1
"48",50,43,0,1
"49",50,43,0,1
"50",50,43,0,1
"51",50,41,0,1
"52",50,41,0,1
"53",49,39,0,1
"54",50,39,0,1
"55",45,39,0,1
"56",49,39,0,1
"57",41,39,0,1
"58",48,39,0,1
"59",50,39,0,1
"60",43,39,0,1
"61",46,39,0,1
"62",43,39,0,1
"63",50,33,0,1
"64",34,31,0,1
"65",50,31,0,1
"66",50,31,0,1
"67",50,31,0,1
"68",50,30,0,1
"69",46,30,0,1
"70",50,30,0,1
"71",47,30,0,1
"72",50,37,0,1
"73",50,37,0,1
"74",50,37,0,1
"75",50,37,0,1
"76",50,37,0,1
"77",50,36,0,1
"78",50,36,0,1
"79",48,36,0,1
"80",50,35,0,1
"81",43,34,0,1
"82",39,25,0,1
"83",50,24,0,1
"84",50,24,0,1
"85",50,24,0,1
"86",29,23,0,1
"87",45,23,0,1
"88",42,23,0,1
"89",45,23,0,1
"90",48,23,0,1
"91",48,23,0,1
"92",50,28,0,1
"93",50,29,0,1
"94",50,28,0,1
"95",46,28,0,1
"96",46,27,0,1
"97",46,23,0,1
"98",41,24,0,1
"99",38,23,0,1
"100",49,37,0,1
"101",48,35,0,1
"102",50,35,0,1
"103",50,36,0,1
"104",50,36,0,1
"105",50,35,0,1
"106",36,35,0,1
"107",38,35,0,1
"108",45,34,0,1
"109",38,34,0,1
"110",39,34,0,1
"111",50,34,0,1
"112",50,34,0,1
"113",50,24,0,1
"114",40,24,0,1
"115",49,24,0,1
"116",50,24,0,1
"117",45,24,0,1
"118",50,24,0,1
"119",50,24,0,1
"120",50,23,0,1
"121",44,23,0,1
"122",27,23,0,1
"123",43,24,0,1
"124",50,23,0,1
"125",50,23,0,1
"126",40,23,0,1
"127",50,23,0,1
"128",39,29,0,1
"129",43,28,0,1
"130",50,29,0,1
"131",48,28,0,1
"132",50,28,0,1
"133",50,29,0,1
"134",50,28,0,1
"135",41,28,0,1
"136",50,28,0,1
"137",38,28,0,1
"138",50,28,0,1
"139",50,28,0,1
"140",35,23,0,1
"141",27,23,0,1
"142",50,23,0,1
"143",50,23,0,1
"144",46,23,0,1
"145",50,22,0,1
"146",50,22,0,1
