"","Zi","Yi","Ci","Di"
"1",38,33,0,1
"2",38,33,0,1
"3",38,33,0,1
"4",34,33,0,1
"5",35,33,0,1
"6",38,33,0,1
"7",38,33,0,1
"8",38,32,0,1
"9",32,31,0,1
"10",38,32,0,1
"11",38,32,0,1
"12",36,31,0,1
"13",38,31,0,1
"14",38,32,0,1
"15",38,32,0,1
"16",38,32,0,1
"17",38,31,0,1
"18",32,31,0,1
"19",38,31,0,1
"20",38,30,0,1
"21",38,30,0,1
"22",38,30,0,1
"23",31,30,0,1
"24",35,30,0,1
"25",38,30,0,1
"26",33,31,0,1
"27",38,37,0,1
"28",38,33,0,1
"29",37,33,0,1
"30",38,33,0,1
"31",38,33,0,1
"32",38,31,0,1
"33",38,31,0,1
"34",38,31,0,1
"35",38,31,0,1
"36",37,31,0,1
"37",36,31,0,1
"38",38,31,0,1
"39",38,31,0,1
"40",37,31,0,1
"41",38,31,0,1
"42",38,31,0,1
"43",38,31,0,1
"44",38,30,0,1
"45",38,30,0,1
"46",38,30,0,1
"47",38,30,0,1
"48",38,36,0,1
"49",38,35,0,1
"50",38,34,0,1
"51",38,34,0,1
"52",38,34,0,1
"53",38,34,0,1
"54",34,25,0,1
"55",35,25,0,1
"56",30,24,0,1
"57",38,28,0,1
"58",38,28,0,1
"59",32,28,0,1
"60",38,28,0,1
"61",31,28,0,1
"62",38,23,0,1
"63",26,23,0,1
"64",38,35,0,1
"65",38,35,0,1
"66",38,25,0,1
"67",38,24,0,1
"68",33,23,0,1
"69",38,23,0,1
"70",38,28,0,1
"71",38,28,0,1
"72",38,28,0,1
"73",38,28,0,1
"74",38,28,0,1
"75",35,23,0,1
"76",34,23,0,1
"77",26,23,0,1
"78",38,23,0,1
"79",38,22,0,1
"80",38,22,0,1
"81",38,22,0,1
"82",38,22,0,1
"83",23,22,0,1
"84",38,26,0,1
"85",29,26,0,1
"86",38,25,0,1
"87",38,26,0,1
"88",28,17,0,1
"89",35,18,0,1
"90",38,17,0,1
"91",38,17,0,1
"92",27,21,0,1
"93",38,22,0,1
"94",22,21,0,1
"95",23,21,0,1
"96",38,22,0,1
"97",38,22,0,1
"98",38,22,0,1
"99",29,26,0,1
"100",38,26,0,1
"101",38,26,0,1
"102",30,25,0,1
"103",38,25,0,1
"104",36,18,0,1
"105",38,17,0,1
"106",38,17,0,1
"107",21,17,0,1
"108",38,17,0,1
"109",38,21,0,1
"110",38,21,0,1
"111",38,21,0,1
"112",37,21,0,1
"113",27,21,0,1
"114",38,21,0,1
"115",38,21,0,1
"116",28,13,0,1
"117",38,13,0,1
"118",32,12,0,1
"119",13,12,0,1
"120",27,12,0,1
"121",30,12,0,1
"122",38,12,0,1
"123",37,12,0,1
"124",38,12,0,1
"125",16,12,0,1
"126",35,12,0,1
"127",38,20,0,1
"128",38,20,0,1
"129",29,19,0,1
"130",35,20,0,1
"131",30,19,0,1
"132",38,19,0,1
"133",38,19,0,1
"134",38,19,0,1
"135",22,6,0,1
"136",38,21,0,1
"137",34,21,0,1
"138",38,13,0,1
"139",22,13,0,1
"140",38,12,0,1
"141",29,12,0,1
"142",33,12,0,1
"143",26,12,0,1
"144",31,12,0,1
"145",38,12,0,1
"146",38,12,0,1
"147",38,20,0,1
"148",38,20,0,1
"149",33,19,0,1
"150",28,19,0,1
"151",38,19,0,1
"152",38,19,0,1
"153",38,20,0,1
"154",38,19,0,1
"155",38,6,0,1
"156",14,6,0,1
"157",19,7,0,1
"158",38,6,0,1
"159",35,6,0,1
"160",38,6,0,1
"161",28,6,0,1
"162",23,6,0,1
"163",23,7,0,1
"164",21,6,0,1
"165",38,7,0,1
"166",31,7,0,1
"167",29,7,0,1
"168",38,7,0,1
"169",38,7,0,1
"170",28,7,0,1
"171",38,7,0,1
"172",38,7,0,1
"173",38,7,0,1
"174",19,7,0,1
"175",34,7,0,1
"176",38,19,0,1
"177",38,19,0,1
"178",25,19,0,1
"179",31,18,0,1
"180",38,18,0,1
"181",38,18,0,1
"182",38,6,0,1
"183",23,6,0,1
"184",38,7,0,1
"185",37,6,0,1
"186",26,6,0,1
"187",14,7,0,1
"188",18,7,0,1
"189",38,7,0,1
"190",9,7,0,1
"191",38,7,0,1
"192",38,7,0,1
"193",11,7,0,1
"194",12,7,0,1
"195",28,19,0,1
"196",38,18,0,1
"197",20,18,0,1
"198",38,18,0,1
"199",38,18,0,1
"200",38,18,0,1
"201",31,18,0,1
"202",38,18,0,1
"203",36,16,0,1
"204",21,17,0,1
"205",36,16,0,1
"206",35,15,0,1
"207",38,15,0,1
"208",18,15,0,1
"209",31,15,0,1
"210",38,15,0,1
"211",28,15,0,1
"212",38,15,0,1
"213",37,15,0,1
"214",18,14,0,1
"215",31,14,0,1
"216",37,14,0,1
"217",19,18,0,1
"218",38,18,0,1
"219",35,18,0,1
"220",37,16,0,1
"221",38,16,0,1
"222",38,16,0,1
"223",38,15,0,1
"224",38,15,0,1
"225",38,15,0,1
"226",24,15,0,1
"227",38,15,0,1
"228",26,14,0,1
"229",24,15,0,1
"230",29,15,0,1
"231",38,14,0,1
"232",38,14,0,1
"233",22,14,0,1
"234",30,14,0,1
"235",38,14,0,1
"236",35,14,0,1
"237",25,14,0,1
"238",26,14,0,1
"239",38,13,0,1
"240",21,13,0,1
"241",38,13,0,1
"242",38,13,0,1
"243",33,13,0,1
"244",35,13,0,1
"245",27,12,0,1
"246",38,12,0,1
"247",38,12,0,1
"248",38,12,0,1
"249",24,11,0,1
"250",22,11,0,1
"251",37,11,0,1
"252",21,11,0,1
"253",38,11,0,1
"254",38,11,0,1
"255",33,14,0,1
"256",15,14,0,1
"257",38,14,0,1
"258",31,13,0,1
"259",25,13,0,1
"260",38,13,0,1
"261",36,13,0,1
"262",38,13,0,1
"263",38,12,0,1
"264",38,12,0,1
"265",17,12,0,1
"266",24,12,0,1
"267",38,11,0,1
"268",38,11,0,1
"269",12,11,0,1
"270",30,11,0,1
"271",38,11,0,1
"272",38,11,0,1
"273",38,11,0,1
"274",38,11,0,1
"275",38,11,0,1
"276",38,11,0,1
"277",38,11,0,1
"278",29,10,0,1
"279",24,10,0,1
"280",38,10,0,1
"281",28,10,0,1
"282",11,10,0,1
"283",37,10,0,1
"284",38,10,0,1
"285",19,10,0,1
"286",38,10,0,1
"287",38,9,0,1
"288",21,10,0,1
"289",38,9,0,1
"290",24,9,0,1
"291",36,10,0,1
"292",14,9,0,1
"293",36,9,0,1
"294",34,9,0,1
"295",38,9,0,1
"296",35,9,0,1
"297",38,8,0,1
"298",38,8,0,1
"299",29,8,0,1
"300",32,10,0,1
"301",11,10,0,1
"302",22,9,0,1
"303",20,9,0,1
"304",25,9,0,1
"305",33,9,0,1
"306",19,9,0,1
"307",38,9,0,1
"308",34,9,0,1
"309",38,9,0,1
"310",18,8,0,1
"311",12,8,0,1
"312",30,9,0,1
"313",38,8,0,1
"314",38,8,0,1
"315",18,8,0,1
"316",25,8,0,1
"317",30,8,0,1
"318",31,7,0,1
"319",36,7,0,1
"320",38,8,0,1
"321",38,8,0,1
"322",38,6,0,1
"323",31,5,0,1
"324",13,5,0,1
"325",38,5,0,1
"326",12,5,0,1
"327",16,5,0,1
"328",38,5,0,1
"329",17,5,0,1
"330",22,5,0,1
"331",25,5,0,1
"332",6,5,0,1
"333",7,5,0,1
"334",38,5,0,1
"335",18,5,0,1
"336",28,4,0,1
"337",38,4,0,1
"338",8,4,0,1
"339",38,7,0,1
"340",10,6,0,1
"341",19,6,0,1
"342",11,5,0,1
"343",32,5,0,1
"344",10,5,0,1
"345",11,5,0,1
"346",25,5,0,1
"347",25,5,0,1
"348",38,5,0,1
"349",38,5,0,1
"350",6,5,0,1
"351",38,42,0,1
"352",38,42,0,1
"353",38,33,0,1
"354",38,33,0,1
"355",38,33,0,1
"356",38,33,0,1
"357",38,33,0,1
"358",37,33,0,1
"359",38,33,0,1
"360",38,33,0,1
"361",38,33,0,1
"362",38,33,0,1
"363",38,33,0,1
"364",38,33,0,1
"365",38,34,0,1
"366",37,33,0,1
"367",33,32,0,1
