"","Zi","Yi","Ci","Di"
"1",26,24,0,1
"2",26,24,0,1
"3",26,24,0,1
"4",26,21,0,1
"5",18,12,0,1
"6",26,12,0,1
"7",26,6,0,1
"8",24,6,0,1
"9",19,6,0,1
"10",26,7,0,1
"11",22,7,0,1
"12",26,7,0,1
"13",26,18,0,1
"14",26,6,0,1
"15",26,7,0,1
"16",14,7,0,1
"17",26,18,0,1
"18",26,15,0,1
"19",26,14,0,1
"20",18,14,0,1
"21",24,14,0,1
"22",26,18,0,1
"23",26,16,0,1
"24",26,15,0,1
"25",26,14,0,1
"26",26,13,0,1
"27",26,13,0,1
"28",26,12,0,1
"29",22,13,0,1
"30",16,13,0,1
"31",24,11,0,1
"32",26,10,0,1
"33",26,8,0,1
"34",10,8,0,1
"35",26,10,0,1
"36",26,10,0,1
"37",12,5,0,1
"38",8,5,0,1
"39",9,5,0,1
"40",9,5,0,1
"41",26,4,0,1
"42",26,4,0,1
"43",15,5,0,1
"44",26,23,0,1
"45",26,23,0,1
"46",26,22,0,1
"47",26,22,0,1
"48",26,22,0,1
"49",26,25,0,1
"50",23,17,0,1
"51",26,21,0,1
"52",26,21,0,1
"53",26,21,0,1
"54",26,21,0,1
"55",26,21,0,1
"56",26,20,0,1
"57",26,12,0,1
"58",13,12,0,1
"59",25,12,0,1
"60",16,12,0,1
"61",26,12,0,1
"62",26,12,0,1
"63",26,12,0,1
"64",26,12,0,1
"65",26,12,0,1
"66",26,19,0,1
"67",26,19,0,1
"68",26,19,0,1
"69",24,19,0,1
"70",26,19,0,1
"71",19,6,0,1
"72",8,6,0,1
"73",18,6,0,1
"74",26,5,0,1
"75",25,6,0,1
"76",22,6,0,1
"77",26,6,0,1
"78",23,6,0,1
"79",11,6,0,1
"80",26,6,0,1
"81",19,6,0,1
"82",10,6,0,1
"83",18,7,0,1
"84",12,7,0,1
"85",26,7,0,1
"86",14,7,0,1
"87",26,7,0,1
"88",26,8,0,1
"89",21,7,0,1
"90",25,18,0,1
"91",26,18,0,1
"92",26,16,0,1
"93",21,16,0,1
"94",17,16,0,1
"95",26,16,0,1
"96",26,16,0,1
"97",26,14,0,1
"98",26,14,0,1
"99",21,14,0,1
"100",26,14,0,1
"101",26,14,0,1
"102",26,14,0,1
"103",20,14,0,1
"104",26,13,0,1
"105",18,13,0,1
"106",26,13,0,1
"107",26,14,0,1
"108",26,13,0,1
"109",26,13,0,1
"110",26,13,0,1
"111",17,12,0,1
"112",26,12,0,1
"113",26,11,0,1
"114",16,11,0,1
"115",26,11,0,1
"116",22,11,0,1
"117",26,11,0,1
"118",26,11,0,1
"119",26,11,0,1
"120",26,10,0,1
"121",21,10,0,1
"122",26,10,0,1
"123",26,10,0,1
"124",26,10,0,1
"125",26,10,0,1
"126",17,10,0,1
"127",24,10,0,1
"128",14,10,0,1
"129",11,9,0,1
"130",26,10,0,1
"131",26,9,0,1
"132",26,9,0,1
"133",26,9,0,1
"134",26,8,0,1
"135",22,8,0,1
"136",26,8,0,1
"137",26,8,0,1
"138",16,8,0,1
"139",26,5,0,1
"140",21,5,0,1
"141",25,5,0,1
"142",26,5,0,1
"143",26,5,0,1
"144",26,5,0,1
"145",26,5,0,1
"146",17,5,0,1
"147",26,5,0,1
"148",18,5,0,1
"149",26,5,0,1
"150",18,4,0,1
"151",15,4,0,1
