"","Zi","Yi","Ci","Di"
"1",62,63,0,1
"2",57,56,0,1
"3",58,56,0,1
"4",62,56,0,1
"5",62,56,0,1
"6",62,56,0,1
"7",57,56,0,1
"8",61,56,0,1
"9",62,56,0,1
"10",57,56,0,1
"11",62,56,0,1
"12",62,56,0,1
"13",62,55,0,1
"14",62,55,0,1
"15",62,55,0,1
"16",56,55,0,1
"17",62,55,0,1
"18",61,55,0,1
"19",62,55,0,1
"20",62,55,0,1
"21",62,55,0,1
"22",62,54,0,1
"23",62,54,0,1
"24",62,55,0,1
"25",62,54,0,1
"26",62,54,0,1
"27",62,54,0,1
"28",62,54,0,1
"29",61,52,0,1
"30",62,52,0,1
"31",62,52,0,1
"32",62,52,0,1
"33",55,52,0,1
"34",62,52,0,1
"35",62,52,0,1
"36",62,52,0,1
"37",58,51,0,1
"38",56,52,0,1
"39",51,49,0,1
"40",62,49,0,1
"41",62,49,0,1
"42",61,49,0,1
"43",61,49,0,1
"44",62,49,0,1
"45",62,49,0,1
"46",62,50,0,1
"47",58,49,0,1
"48",62,49,0,1
"49",59,49,0,1
"50",62,49,0,1
"51",62,49,0,1
"52",57,49,0,1
"53",62,49,0,1
"54",60,49,0,1
"55",59,49,0,1
"56",62,49,0,1
"57",62,49,0,1
"58",62,49,0,1
"59",62,49,0,1
"60",62,49,0,1
"61",62,49,0,1
"62",62,49,0,1
"63",62,49,0,1
"64",62,49,0,1
"65",53,49,0,1
"66",62,49,0,1
"67",57,49,0,1
"68",62,47,0,1
"69",61,47,0,1
"70",62,47,0,1
"71",62,47,0,1
"72",48,47,0,1
"73",62,47,0,1
"74",55,47,0,1
"75",62,47,0,1
"76",62,47,0,1
"77",62,47,0,1
"78",62,57,0,1
"79",62,57,0,1
"80",62,57,0,1
"81",62,57,0,1
"82",62,57,0,1
"83",62,57,0,1
"84",62,57,0,1
"85",62,57,0,1
"86",61,57,0,1
"87",62,57,0,1
"88",62,57,0,1
"89",62,56,0,1
"90",62,56,0,1
"91",62,56,0,1
"92",62,56,0,1
"93",62,56,0,1
"94",62,60,0,1
"95",62,59,0,1
"96",62,59,0,1
"97",62,59,0,1
"98",62,54,0,1
"99",57,54,0,1
"100",55,54,0,1
"101",62,54,0,1
"102",62,54,0,1
"103",62,54,0,1
"104",55,54,0,1
"105",62,53,0,1
"106",55,53,0,1
"107",61,53,0,1
"108",62,53,0,1
"109",62,53,0,1
"110",62,53,0,1
"111",62,53,0,1
"112",59,53,0,1
"113",62,52,0,1
"114",53,52,0,1
"115",62,52,0,1
"116",58,52,0,1
"117",57,52,0,1
"118",62,52,0,1
"119",55,52,0,1
"120",62,52,0,1
"121",62,51,0,1
"122",62,51,0,1
"123",62,51,0,1
"124",62,51,0,1
"125",56,51,0,1
"126",62,52,0,1
"127",55,51,0,1
"128",59,52,0,1
"129",62,51,0,1
"130",62,51,0,1
"131",62,51,0,1
"132",62,52,0,1
"133",62,51,0,1
"134",59,49,0,1
"135",62,49,0,1
"136",62,49,0,1
"137",62,49,0,1
"138",62,49,0,1
"139",62,49,0,1
"140",56,49,0,1
"141",62,49,0,1
"142",62,49,0,1
"143",62,50,0,1
"144",62,49,0,1
"145",57,49,0,1
"146",62,49,0,1
"147",62,49,0,1
"148",62,49,0,1
"149",59,49,0,1
"150",62,49,0,1
"151",54,49,0,1
"152",62,49,0,1
"153",62,49,0,1
"154",62,49,0,1
"155",62,49,0,1
"156",61,47,0,1
"157",62,47,0,1
"158",62,46,0,1
"159",62,47,0,1
"160",62,46,0,1
"161",53,46,0,1
"162",58,47,0,1
"163",56,46,0,1
"164",62,46,0,1
"165",50,46,0,1
"166",51,46,0,1
"167",62,46,0,1
"168",62,46,0,1
"169",62,46,0,1
"170",56,46,0,1
"171",62,46,0,1
"172",62,46,0,1
"173",62,47,0,1
"174",62,46,0,1
"175",58,47,0,1
"176",62,59,0,1
"177",62,60,0,1
"178",62,60,0,1
"179",62,55,0,1
"180",62,55,0,1
"181",62,55,0,1
"182",62,55,0,1
"183",62,55,0,1
"184",62,55,0,1
"185",62,55,0,1
"186",62,54,0,1
"187",62,55,0,1
"188",62,55,0,1
"189",56,55,0,1
"190",62,54,0,1
"191",59,55,0,1
"192",62,54,0,1
"193",62,54,0,1
"194",62,54,0,1
"195",59,54,0,1
"196",62,55,0,1
"197",62,54,0,1
"198",62,56,0,1
"199",62,56,0,1
"200",62,56,0,1
"201",62,56,0,1
"202",62,55,0,1
"203",61,55,0,1
"204",62,55,0,1
"205",62,56,0,1
"206",62,56,0,1
"207",62,56,0,1
"208",62,55,0,1
"209",62,55,0,1
"210",62,56,0,1
"211",62,55,0,1
"212",62,56,0,1
"213",62,55,0,1
"214",62,55,0,1
"215",62,55,0,1
"216",61,55,0,1
"217",62,55,0,1
"218",62,55,0,1
"219",62,55,0,1
"220",56,55,0,1
"221",62,55,0,1
"222",62,55,0,1
"223",62,55,0,1
"224",62,55,0,1
"225",58,55,0,1
"226",62,55,0,1
"227",62,55,0,1
"228",62,55,0,1
"229",62,55,0,1
"230",62,55,0,1
"231",62,55,0,1
"232",62,54,0,1
"233",62,54,0,1
"234",61,54,0,1
"235",62,54,0,1
"236",62,54,0,1
"237",62,43,0,1
"238",45,43,0,1
"239",62,43,0,1
"240",57,43,0,1
"241",62,43,0,1
"242",62,43,0,1
"243",58,43,0,1
"244",44,43,0,1
"245",59,43,0,1
"246",55,43,0,1
"247",60,43,0,1
"248",62,43,0,1
"249",62,43,0,1
"250",57,43,0,1
"251",62,43,0,1
"252",62,43,0,1
"253",62,43,0,1
"254",62,43,0,1
"255",59,43,0,1
"256",62,43,0,1
"257",59,43,0,1
"258",59,41,0,1
"259",62,41,0,1
"260",44,41,0,1
"261",55,41,0,1
"262",62,41,0,1
"263",62,41,0,1
"264",47,41,0,1
"265",60,41,0,1
"266",48,41,0,1
"267",50,41,0,1
"268",62,41,0,1
"269",62,41,0,1
"270",58,41,0,1
"271",57,41,0,1
"272",62,41,0,1
"273",58,41,0,1
"274",62,41,0,1
"275",59,39,0,1
"276",58,39,0,1
"277",42,39,0,1
"278",62,39,0,1
"279",61,39,0,1
"280",51,39,0,1
"281",51,39,0,1
"282",41,39,0,1
"283",62,39,0,1
"284",60,39,0,1
"285",62,39,0,1
"286",54,39,0,1
"287",62,39,0,1
"288",58,40,0,1
"289",62,39,0,1
"290",54,39,0,1
"291",48,39,0,1
"292",34,33,0,1
"293",60,33,0,1
"294",62,33,0,1
"295",50,33,0,1
"296",62,33,0,1
"297",62,33,0,1
"298",62,33,0,1
"299",59,33,0,1
"300",49,33,0,1
"301",62,33,0,1
"302",62,33,0,1
"303",41,32,0,1
"304",62,32,0,1
"305",62,31,0,1
"306",42,31,0,1
"307",46,31,0,1
"308",62,31,0,1
"309",39,31,0,1
"310",58,31,0,1
"311",62,31,0,1
"312",40,31,0,1
"313",46,31,0,1
"314",62,31,0,1
"315",62,31,0,1
"316",43,31,0,1
"317",62,31,0,1
