"","Zi","Yi","Ci","Di"
"1",77,69,0,1
"2",77,69,0,1
"3",77,69,0,1
"4",77,69,0,1
"5",77,69,0,1
"6",77,68,0,1
"7",77,68,0,1
"8",77,68,0,1
"9",77,68,0,1
"10",76,67,0,1
"11",77,68,0,1
"12",77,67,0,1
"13",76,67,0,1
"14",77,67,0,1
"15",77,67,0,1
"16",77,67,0,1
"17",77,67,0,1
"18",77,66,0,1
"19",77,66,0,1
"20",77,66,0,1
"21",77,66,0,1
"22",77,66,0,1
"23",73,67,0,1
"24",75,67,0,1
"25",77,67,0,1
"26",77,67,0,1
"27",77,67,0,1
"28",68,67,0,1
"29",77,67,0,1
"30",77,67,0,1
"31",76,66,0,1
"32",77,66,0,1
"33",67,66,0,1
"34",77,72,0,1
"35",74,72,0,1
"36",77,72,0,1
"37",75,72,0,1
"38",75,71,0,1
"39",77,70,0,1
"40",77,70,0,1
"41",77,70,0,1
"42",77,70,0,1
"43",77,70,0,1
"44",77,69,0,1
"45",77,69,0,1
"46",77,69,0,1
"47",77,69,0,1
"48",77,69,0,1
"49",77,69,0,1
"50",77,68,0,1
"51",77,68,0,1
"52",77,67,0,1
"53",77,67,0,1
"54",77,67,0,1
"55",77,67,0,1
"56",75,67,0,1
"57",76,67,0,1
"58",69,67,0,1
"59",73,67,0,1
"60",77,67,0,1
"61",77,65,0,1
"62",77,65,0,1
"63",77,65,0,1
"64",74,64,0,1
"65",74,65,0,1
"66",77,64,0,1
"67",77,64,0,1
"68",76,64,0,1
"69",69,63,0,1
"70",77,63,0,1
"71",77,63,0,1
"72",77,62,0,1
"73",69,66,0,1
"74",77,66,0,1
"75",75,66,0,1
"76",76,65,0,1
"77",75,65,0,1
"78",77,63,0,1
"79",77,63,0,1
"80",71,63,0,1
"81",77,63,0,1
"82",73,63,0,1
"83",75,62,0,1
"84",77,62,0,1
"85",77,62,0,1
"86",75,62,0,1
"87",72,62,0,1
"88",65,62,0,1
"89",71,62,0,1
"90",67,62,0,1
"91",77,61,0,1
"92",63,62,0,1
"93",77,61,0,1
"94",76,63,0,1
"95",77,63,0,1
"96",69,63,0,1
"97",77,56,0,1
"98",77,56,0,1
"99",77,56,0,1
"100",75,56,0,1
"101",63,56,0,1
"102",64,56,0,1
"103",77,56,0,1
"104",77,55,0,1
"105",77,54,0,1
"106",74,54,0,1
"107",57,54,0,1
"108",62,54,0,1
"109",60,54,0,1
"110",71,54,0,1
"111",77,52,0,1
"112",77,52,0,1
"113",57,52,0,1
"114",74,52,0,1
"115",70,52,0,1
"116",75,52,0,1
"117",77,52,0,1
"118",56,52,0,1
"119",63,52,0,1
"120",77,50,0,1
"121",77,49,0,1
"122",61,49,0,1
"123",59,49,0,1
"124",65,49,0,1
"125",77,49,0,1
"126",63,49,0,1
"127",77,49,0,1
"128",72,49,0,1
"129",57,49,0,1
"130",77,49,0,1
"131",77,49,0,1
"132",76,49,0,1
"133",62,49,0,1
"134",63,49,0,1
"135",61,47,0,1
"136",69,47,0,1
"137",77,47,0,1
"138",73,47,0,1
"139",77,46,0,1
"140",77,63,0,1
"141",68,63,0,1
"142",70,63,0,1
"143",77,63,0,1
"144",77,63,0,1
"145",77,63,0,1
"146",77,63,0,1
"147",77,63,0,1
"148",73,63,0,1
"149",77,62,0,1
"150",77,62,0,1
"151",76,62,0,1
"152",76,62,0,1
"153",77,62,0,1
"154",77,63,0,1
"155",73,63,0,1
"156",73,63,0,1
"157",77,63,0,1
"158",76,63,0,1
"159",77,63,0,1
"160",77,63,0,1
"161",77,62,0,1
"162",74,62,0,1
"163",67,57,0,1
"164",63,57,0,1
"165",64,57,0,1
"166",77,57,0,1
"167",77,57,0,1
"168",75,56,0,1
"169",77,56,0,1
"170",77,56,0,1
"171",61,56,0,1
"172",77,56,0,1
"173",65,62,0,1
"174",77,62,0,1
"175",77,62,0,1
"176",68,62,0,1
"177",76,62,0,1
"178",77,62,0,1
"179",70,61,0,1
"180",73,61,0,1
"181",77,61,0,1
"182",76,61,0,1
"183",71,61,0,1
"184",74,61,0,1
"185",74,60,0,1
"186",73,60,0,1
"187",77,60,0,1
"188",77,60,0,1
"189",64,60,0,1
"190",77,60,0,1
"191",70,59,0,1
"192",72,59,0,1
"193",73,59,0,1
"194",64,54,0,1
