"","Zi","Yi","Ci","Di"
"1",56,49,0,1
"2",50,47,0,1
"3",48,33,0,1
"4",42,33,0,1
"5",44,34,0,1
"6",28,24,0,1
"7",35,34,0,1
"8",43,28,0,1
"9",23,22,0,1
"10",37,21,0,1
"11",56,13,0,1
"12",19,12,0,1
"13",56,22,0,1
"14",29,21,0,1
"15",56,20,0,1
"16",47,6,0,1
"17",18,6,0,1
"18",45,6,0,1
"19",27,7,0,1
"20",11,7,0,1
"21",56,18,0,1
"22",50,18,0,1
"23",17,15,0,1
"24",25,15,0,1
"25",40,16,0,1
"26",55,15,0,1
"27",33,15,0,1
"28",20,14,0,1
"29",51,14,0,1
"30",34,13,0,1
"31",56,13,0,1
"32",24,11,0,1
"33",54,11,1,0
"34",49,14,0,1
"35",20,13,0,1
"36",50,12,0,1
"37",23,10,0,1
"38",27,9,0,1
"39",43,11,0,1
"40",39,8,0,1
"41",7,5,0,1
"42",48,5,1,0
"43",46,6,0,1
"44",30,5,0,1
"45",40,5,0,1
"46",56,50,0,1
"47",52,48,0,1
"48",56,46,0,1
"49",48,44,0,1
"50",56,42,0,1
"51",36,32,0,1
"52",41,32,0,1
"53",50,31,0,1
"54",39,30,0,1
"55",56,35,0,1
"56",56,34,0,1
"57",56,33,0,1
"58",55,24,0,1
"59",33,29,0,1
"60",56,29,0,1
"61",56,28,0,1
"62",48,27,0,1
"63",56,22,0,1
"64",56,22,0,1
"65",56,22,0,1
"66",56,22,0,1
"67",38,26,0,1
"68",52,25,0,1
"69",56,25,0,1
"70",56,17,0,1
"71",53,17,0,1
"72",48,17,0,1
"73",45,17,0,1
"74",42,17,0,1
"75",34,17,0,1
"76",45,21,0,1
"77",22,21,0,1
"78",55,21,0,1
"79",55,20,0,1
"80",36,20,0,1
"81",39,13,0,1
"82",49,12,0,1
"83",38,13,0,1
"84",55,12,1,0
"85",55,12,1,0
"86",50,12,0,1
"87",49,12,0,1
"88",25,12,0,1
"89",44,19,0,1
"90",56,19,0,1
"91",40,19,0,1
"92",46,19,0,1
"93",41,6,0,1
"94",27,6,0,1
"95",49,6,1,0
"96",49,6,1,0
"97",23,6,0,1
"98",20,6,0,1
"99",22,6,0,1
"100",42,6,0,1
"101",42,6,0,1
"102",23,6,0,1
"103",39,6,0,1
"104",42,7,0,1
"105",50,7,1,0
"106",50,7,0,1
"107",31,7,0,1
"108",25,7,0,1
"109",19,7,0,1
"110",53,16,0,1
"111",29,16,0,1
"112",30,16,0,1
"113",49,15,0,1
"114",56,15,0,1
"115",52,15,0,1
"116",24,15,0,1
"117",56,15,0,1
"118",49,15,0,1
"119",33,15,0,1
"120",15,14,0,1
"121",54,14,0,1
"122",29,14,0,1
"123",22,14,0,1
"124",27,14,0,1
"125",25,14,0,1
"126",36,14,0,1
"127",40,14,0,1
"128",42,13,0,1
"129",40,13,0,1
"130",19,14,0,1
"131",20,13,0,1
"132",20,13,0,1
"133",26,13,0,1
"134",41,13,0,1
"135",27,13,0,1
"136",14,13,0,1
"137",52,13,0,1
"138",41,13,0,1
"139",56,13,0,1
"140",26,13,0,1
"141",55,12,0,1
"142",55,12,0,1
"143",34,12,0,1
"144",45,12,0,1
"145",54,11,0,1
"146",23,11,0,1
"147",42,11,0,1
"148",45,11,0,1
"149",40,11,0,1
"150",13,11,0,1
"151",25,11,0,1
"152",12,11,0,1
"153",54,11,1,0
"154",34,11,0,1
"155",36,11,0,1
"156",52,10,0,1
"157",20,10,0,1
"158",12,10,0,1
"159",53,10,0,1
"160",35,10,0,1
"161",53,10,1,0
"162",51,10,0,1
"163",53,10,1,0
"164",52,9,1,0
"165",32,10,0,1
"166",52,9,1,0
"167",24,10,0,1
"168",22,9,0,1
"169",47,9,0,1
"170",52,9,1,0
"171",24,9,0,1
"172",43,9,0,1
"173",52,9,1,0
"174",12,9,0,1
"175",36,9,0,1
"176",10,9,0,1
"177",51,8,1,0
"178",14,8,0,1
"179",51,8,1,0
"180",20,9,0,1
"181",20,8,0,1
"182",40,8,0,1
"183",43,8,0,1
"184",51,8,1,0
"185",15,8,0,1
"186",51,8,1,0
"187",51,8,1,0
"188",18,7,0,1
"189",37,7,0,1
"190",48,5,1,0
"191",26,5,0,1
"192",48,5,1,0
"193",48,5,1,0
"194",15,5,0,1
"195",15,5,0,1
"196",44,5,0,1
"197",24,5,0,1
"198",48,5,1,0
"199",48,5,1,0
"200",48,5,1,0
"201",33,4,0,1
