"","Zi","Yi","Ci","Di"
"1",42,33,0,1
"2",57,25,0,1
"3",53,37,0,1
"4",49,23,0,1
"5",23,18,0,1
"6",24,20,0,1
"7",26,13,0,1
"8",42,6,0,1
"9",25,6,0,1
"10",12,6,0,1
"11",46,7,0,1
"12",22,6,0,1
"13",34,7,0,1
"14",42,7,0,1
"15",57,15,0,1
"16",57,14,0,1
"17",57,15,0,1
"18",57,15,0,1
"19",57,14,0,1
"20",23,14,0,1
"21",55,12,1,0
"22",25,14,0,1
"23",19,13,0,1
"24",50,12,0,1
"25",32,11,0,1
"26",36,11,0,1
"27",52,9,1,0
"28",53,10,1,0
"29",51,8,1,0
"30",32,8,0,1
"31",34,6,0,1
"32",33,6,0,1
"33",46,44,0,1
"34",57,42,0,1
"35",41,40,0,1
"36",49,39,0,1
"37",57,33,0,1
"38",40,31,0,1
"39",40,30,0,1
"40",57,30,0,1
"41",52,30,0,1
"42",51,36,0,1
"43",56,34,0,1
"44",33,28,0,1
"45",56,23,0,1
"46",36,23,0,1
"47",56,27,0,1
"48",57,27,0,1
"49",32,27,0,1
"50",44,26,0,1
"51",57,25,0,1
"52",54,17,0,1
"53",54,17,0,1
"54",57,22,0,1
"55",57,22,0,1
"56",57,21,0,1
"57",19,13,0,1
"58",29,13,0,1
"59",56,19,0,1
"60",30,6,0,1
"61",15,6,0,1
"62",14,6,0,1
"63",12,6,0,1
"64",49,6,1,0
"65",51,8,1,0
"66",42,7,0,1
"67",9,7,0,1
"68",34,7,0,1
"69",50,7,1,0
"70",23,7,0,1
"71",50,7,1,0
"72",51,8,1,0
"73",52,18,0,1
"74",54,17,0,1
"75",29,16,0,1
"76",41,16,0,1
"77",57,16,0,1
"78",57,16,0,1
"79",40,15,0,1
"80",16,15,0,1
"81",57,14,0,1
"82",53,13,0,1
"83",49,13,0,1
"84",49,13,0,1
"85",14,12,0,1
"86",18,13,0,1
"87",55,12,0,1
"88",35,12,0,1
"89",50,12,0,1
"90",32,12,0,1
"91",52,12,0,1
"92",55,12,1,0
"93",54,11,1,0
"94",47,11,0,1
"95",54,11,0,1
"96",29,10,0,1
"97",47,10,0,1
"98",36,9,0,1
"99",46,9,0,1
"100",32,9,0,1
"101",52,9,1,0
"102",52,9,1,0
"103",47,9,0,1
"104",49,8,0,1
"105",46,8,0,1
"106",17,8,0,1
"107",24,8,0,1
"108",28,8,0,1
"109",16,8,0,1
"110",48,5,1,0
