"","Zi","Yi","Ci","Di"
"1",63,57,0,1
"2",62,57,0,1
"3",63,56,0,1
"4",63,56,0,1
"5",63,56,0,1
"6",63,56,0,1
"7",63,56,0,1
"8",60,56,0,1
"9",63,56,0,1
"10",57,56,0,1
"11",63,56,0,1
"12",63,56,0,1
"13",63,56,0,1
"14",60,55,0,1
"15",63,55,0,1
"16",63,55,0,1
"17",62,55,0,1
"18",63,55,0,1
"19",63,55,0,1
"20",63,55,0,1
"21",62,55,0,1
"22",59,53,0,1
"23",63,52,0,1
"24",63,52,0,1
"25",63,52,0,1
"26",57,52,0,1
"27",63,52,0,1
"28",63,52,0,1
"29",63,52,0,1
"30",63,52,0,1
"31",63,52,0,1
"32",62,52,0,1
"33",63,52,0,1
"34",63,50,0,1
"35",63,50,0,1
"36",63,50,0,1
"37",63,50,0,1
"38",63,50,0,1
"39",63,50,0,1
"40",52,47,0,1
"41",63,47,0,1
"42",59,47,0,1
"43",63,47,0,1
"44",58,47,0,1
"45",63,47,0,1
"46",63,47,0,1
"47",57,47,0,1
"48",63,47,0,1
"49",62,47,0,1
"50",63,47,0,1
"51",62,47,0,1
"52",63,47,0,1
"53",48,47,0,1
"54",49,47,0,1
"55",52,47,0,1
"56",63,47,0,1
"57",63,47,0,1
"58",63,47,0,1
"59",63,57,0,1
"60",62,57,0,1
"61",63,57,0,1
"62",63,57,0,1
"63",63,57,0,1
"64",63,57,0,1
"65",63,57,0,1
"66",63,57,0,1
"67",63,56,0,1
"68",63,61,0,1
"69",63,60,0,1
"70",63,60,0,1
"71",63,55,0,1
"72",63,55,0,1
"73",63,55,0,1
"74",63,55,0,1
"75",62,55,0,1
"76",63,55,0,1
"77",63,55,0,1
"78",63,55,0,1
"79",63,55,0,1
"80",57,55,0,1
"81",63,55,0,1
"82",62,55,0,1
"83",61,55,0,1
"84",63,55,0,1
"85",63,54,0,1
"86",63,54,0,1
"87",63,54,0,1
"88",63,54,0,1
"89",63,54,0,1
"90",63,54,0,1
"91",63,54,0,1
"92",63,54,0,1
"93",63,54,0,1
"94",63,53,0,1
"95",63,53,0,1
"96",63,53,0,1
"97",60,53,0,1
"98",60,53,0,1
"99",63,53,0,1
"100",63,52,0,1
"101",57,52,0,1
"102",63,52,0,1
"103",63,52,0,1
"104",63,52,0,1
"105",57,52,0,1
"106",63,52,0,1
"107",55,52,0,1
"108",60,52,0,1
"109",63,52,0,1
"110",56,52,0,1
"111",63,52,0,1
"112",63,52,0,1
"113",63,52,0,1
"114",57,53,0,1
"115",63,52,0,1
"116",60,49,0,1
"117",63,50,0,1
"118",63,49,0,1
"119",55,49,0,1
"120",62,50,0,1
"121",57,49,0,1
"122",63,49,0,1
"123",63,49,0,1
"124",62,49,0,1
"125",63,49,0,1
"126",51,49,0,1
"127",63,49,0,1
"128",63,49,0,1
"129",63,49,0,1
"130",63,49,0,1
"131",63,49,0,1
"132",63,49,0,1
"133",63,49,0,1
"134",63,47,0,1
"135",63,47,0,1
"136",63,47,0,1
"137",62,47,0,1
"138",63,47,0,1
"139",63,47,0,1
"140",59,47,0,1
"141",51,47,0,1
"142",63,47,0,1
"143",62,47,0,1
"144",62,47,0,1
"145",58,47,0,1
"146",63,60,0,1
"147",63,60,0,1
"148",63,61,0,1
