"","e","n","p0","emp_mean","emp_sd","thm_sd","cov_prob"
"",NA,NA,NA,NA,NA,NA,NA
"mat_row",26,50,0.05,0.050316032435646,0.0137208909996214,0.013391102833396,0.923
"mat_row",26,100,0.05,0.0501627225948353,0.00951521288643627,0.00946893962106068,0.936
"mat_row",26,250,0.05,0.0500635712219001,0.00628474145116231,0.00598868324583269,0.938
"mat_row",26,500,0.05,0.0500427953108584,0.00417831586321827,0.00423463853350656,0.959
